"date","price","dividend","ratio","iratio"
1989-06-30,317.98,3.45,0.289855072463768,65.7971014492754
1989-07-31,346.08,3.2,0.3125,70.9375
1989-08-31,351.45,3.17,0.315457413249211,71.608832807571
1989-09-29,349.15,3.2,0.3125,70.9375
1989-10-31,340.36,3.29,0.303951367781155,68.9969604863222
1989-11-30,345.99,3.25,0.307692307692308,69.8461538461539
1989-12-29,353.4,3.22,0.31055900621118,70.4968944099379
1990-01-31,329.08,3.45,0.289855072463768,65.7971014492754
1990-02-28,331.89,3.44,0.290697674418605,65.9883720930233
1990-03-30,339.94,3.38,0.29585798816568,67.1597633136095
1990-04-30,330.8,3.44,0.290697674418605,65.9883720930233
1990-05-31,361.23,3.15,0.317460317460317,72.0634920634921
1990-06-29,358.02,3.17,0.315457413249211,71.608832807571
1990-07-31,356.15,3.2,0.3125,70.9375
1990-08-31,322.56,3.56,0.280898876404494,63.7640449438202
1990-09-28,306.05,3.77,0.26525198938992,60.2122015915119
1990-10-31,304,3.78,0.264550264550265,60.0529100529101
1990-11-30,322.22,3.56,0.280898876404494,63.7640449438202
1990-12-31,330.22,3.5,0.285714285714286,64.8571428571429
1991-01-31,343.93,3.34,0.29940119760479,67.9640718562874
1991-02-28,367.07,3.07,0.325732899022801,73.9413680781759
1991-03-29,375.22,3,0.333333333333333,75.6666666666667
1991-04-30,375.35,2.96,0.337837837837838,76.6891891891892
1991-05-31,389.83,2.86,0.34965034965035,79.3706293706294
1991-06-28,371.16,3,0.333333333333333,75.6666666666667
1991-07-31,387.81,2.86,0.34965034965035,79.3706293706294
1991-08-30,395.43,2.81,0.355871886120996,80.7829181494662
1991-09-30,387.86,2.85,0.350877192982456,79.6491228070175
1991-10-31,392.46,2.83,0.353356890459364,80.2120141342756
1991-11-29,375.22,2.95,0.338983050847458,76.9491525423729
1991-12-31,417.09,2.64,0.378787878787879,85.9848484848485
1992-01-31,408.79,2.71,0.3690036900369,83.7638376383764
1992-02-28,412.7,2.7,0.37037037037037,84.0740740740741
