"date","logcpi","logip","ff","gs1","gs2","cm5yr","cm10yr","cm5f5","ebp","mortg_spread_m","cp3m_spread_m","ff_exp1yr"
1993-04-01,496.8423,417.1552,2.96,3.24,3.84,5.1328571,5.9695238,6.80619,0.005023,1.5,0.1550004,3.280909
1993-05-01,497.1201,416.8035,3,3.36,3.98,5.198,6.0355,6.873,-0.010239,1.43,0.0650002,3.355333
1993-06-01,497.1895,417.0112,3.04,3.54,4.16,5.2168182,5.9627273,6.708636,-0.092369,1.46,0.0650002,3.369583
1993-07-01,497.3279,417.3179,3.06,3.47,4.07,5.0909524,5.8052381,6.519524,-0.098521,1.4,0.0450003,3.392444
1993-08-01,497.5353,417.2778,3.03,3.44,4,5.025,5.6777273,6.330454,-0.126471,1.43,0.0450003,3.299102
1993-09-01,497.6734,417.7493,3.09,3.36,3.85,4.7347619,5.36,5.985238,-0.038514,1.56,0.0950002,3.217553
1993-10-01,498.0863,418.4828,2.99,3.39,3.87,4.707,5.334,5.961,-0.111725,1.5,0.1250002,3.219667
1993-11-01,498.3607,418.8867,3.02,3.58,4.16,5.063,5.724,6.385,-0.169558,1.44,0.1850004,3.278
1993-12-01,498.5659,419.3894,2.96,3.61,4.21,5.1468182,5.7740909,6.401364,-0.200074,1.4,0.1850001,3.3015
1994-01-01,498.5659,419.7906,3.05,3.54,4.14,5.087,5.7505,6.414,-0.269455,1.31,0.0950002,3.327144
1994-02-01,498.839,419.8418,3.25,3.87,4.47,5.3952632,5.9731579,6.551053,-0.459178,1.18,0.1250002,3.58189
1994-03-01,499.1113,420.8644,3.34,4.32,5,5.9413043,6.4826087,7.023913,-0.350492,1.2,0.2350001,3.836704
1994-04-01,499.1792,421.3944,3.56,4.82,5.55,6.5242105,6.9721053,7.42,-0.320025,1.35,0.2550003,4.203666
1994-05-01,499.3828,421.942,4.01,5.31,5.97,6.78,7.1833333,7.586667,-0.319522,1.420001,0.3150005,4.487397
1994-06-01,499.6536,422.6045,4.25,5.27,5.93,6.6954545,7.1013636,7.507273,-0.36392,1.3,0.3150005,4.661848
1994-07-01,499.9911,422.7623,4.26,5.48,6.13,6.9095,7.298,7.6865,-0.323668,1.309999,0.3050002,4.821352
1994-08-01,500.3946,423.3295,4.47,5.56,6.18,6.8778261,7.236087,7.594348,-0.296783,1.27,0.2450003,5.059163
1994-09-01,500.5958,423.6468,4.73,5.76,6.39,7.0833333,7.4571429,7.830952,-0.42854,1.18,0.2850003,5.342197
1994-10-01,500.6627,424.516,4.76,6.11,6.73,7.403,7.744,8.085,-0.326659,1.190001,0.4450006,5.624531
1994-11-01,500.9301,425.1532,5.29,6.54,7.15,7.7175,7.955,8.1925,-0.30399,1.21,0.4050002,5.992881
1994-12-01,501.1302,426.1916,5.45,7.14,7.59,7.7761905,7.8138095,7.851429,-0.253074,1.39,0.5450005,6.429081
1995-01-01,501.3963,426.3864,5.53,7.05,7.51,7.756,7.7795,7.803,-0.273132,1.369999,0.3949999,6.467095
