"byr","race","interval","year","type","vmn1","vsd1","vnu1","vnms1","vfin1","ctr1","ltax","xltax"
1944,1,47,1979,"TAXAB",11058.15,8938.63,175,1.5,0.239999994635582,17,0.18299999833107,0.130999997258186
1944,1,48,1979,"TAXAB",12972.42,8736.67,192,3,0.177000001072884,17,0.172000005841255,0.150999993085861
1944,1,49,1979,"TAXAB",13364.4,8791.76,162,4,0.172999992966652,17,0.216000005602837,0.159999996423721
1944,1,50,1979,"TAXAB",12896.09,9095.41,172,4,0.215000003576279,17,0.215000003576279,0.163000002503395
1944,1,51,1979,"TAXAB",12347.93,8761.94,165,9,0.187999993562698,17,0.164000004529953,0.133000001311302
1944,1,52,1979,"TAXAB",12973.35,9444.48,172,5,0.168999999761581,17,0.202999994158745,0.163000002503395
1944,1,53,1979,"TAXAB",13684.72,8901.61,164,4,0.13400000333786,17,0.256000012159348,0.177000001072884
1944,1,54,1979,"TAXAB",13247.6,10287.68,181,4,0.187999993562698,17,0.238000005483627,0.203999996185303
1944,1,55,1979,"TAXAB",12478.57,8958.84,190,7,0.167999997735023,17,0.221000000834465,0.179000005125999
1944,1,56,1979,"TAXAB",13033.77,9831.81,185,1.5,0.204999998211861,17,0.23199999332428,0.188999995589256
1944,1,57,1979,"TAXAB",12223.21,8839.6,163,6,0.221000000834465,17,0.135000005364418,0.109999999403954
1944,1,58,1979,"TAXAB",13192.97,8825.98,174,5,0.189999997615814,17,0.20100000500679,0.172000005841255
1944,1,59,1979,"TAXAB",13351.22,9025.64,189,3,0.174999997019768,17,0.211999997496605,0.180000007152557
1944,1,60,1979,"TAXAB",12829.41,10493.6,170,0,0.206000000238419,17,0.217999994754791,0.171000003814697
1944,1,61,1979,"TAXAB",12995.03,8947.85,207,7,0.208000004291534,17,0.208000004291534,0.158999994397163
1944,1,62,1979,"TAXAB",13304.15,9306.88,199,3,0.171000003814697,17,0.231000006198883,0.180999994277954
1944,1,63,1979,"TAXAB",11928.57,9109.43,224,6,0.179000005125999,17,0.20100000500679,0.146999999880791
1944,1,64,1979,"TAXAB",13290.51,9127.54,172,1.5,0.197999998927116,17,0.202999994158745,0.157000005245209
1944,1,65,1979,"TAXAB",12863.45,9633.66,193,4,0.228000000119209,17,0.263999998569489,0.187000006437302
1944,1,66,1979,"TAXAB",13329.92,9167.16,199,5,0.20100000500679,17,0.216000005602837,0.171000003814697
1944,1,67,1979,"TAXAB",13022.95,10085.24,194,4,0.186000004410744,17,0.20100000500679,0.159999996423721
1944,1,68,1979,"TAXAB",13592.74,8942.95,176,5,0.181999996304512,17,0.181999996304512,0.148000001907349
1944,1,69,1979,"TAXAB",11215.36,9405.54,177,6,0.243000000715256,17,0.180999994277954,0.164000004529953
1944,1,70,1979,"TAXAB",12388.18,9103.42,178,7,0.224999994039536,17,0.236000001430511,0.208000004291534
