"date","igrea"
2012-08-01,-74.957912
2012-09-01,-82.598199
2012-10-01,-52.910482
2012-11-01,-45.270256
2012-12-01,-63.111921
2013-01-01,-73.619557
2013-02-01,-77.380126
2013-03-01,-60.717216
2013-04-01,-60.583178
2013-05-01,-63.081646
2013-06-01,-53.1992
2013-07-01,-35.483401
2013-08-01,-38.725951
2013-09-01,4.8690552
2013-10-01,16.365861
2013-11-01,-2.553975
2013-12-01,30.795073
2014-01-01,-8.4354566
2014-02-01,-33.980788
2014-03-01,-7.6257044
2014-04-01,-42.695506
2014-05-01,-48.01447
2014-06-01,-56.381344
2014-07-01,-69.940534
2014-08-01,-53.385807
2014-09-01,-35.155351
2014-10-01,-36.928692
2014-11-01,-17.51376
2014-12-01,-55.193044
2015-01-01,-77.047248
2015-02-01,-106.73308
2015-03-01,-100.27997
2015-04-01,-97.581223
2015-05-01,-96.794541
2015-06-01,-81.126077
2015-07-01,-47.811737
2015-08-01,-38.801087
2015-09-01,-56.561778
2015-10-01,-67.887274
2015-11-01,-98.736032
2015-12-01,-109.92886
2016-01-01,-139.27907
2016-02-01,-161.98868
2016-03-01,-139.89992
2016-04-01,-94.076438
2016-05-01,-92.123041
2016-06-01,-94.196004
2016-07-01,-78.812005
2016-08-01,-83.83439
2016-09-01,-63.218521
2016-10-01,-58.487354
2016-11-01,-37.403016
2016-12-01,-39.591598
2017-01-01,-54.409804
2017-02-01,-72.174481
2017-03-01,-31.221867
2017-04-01,-24.369748
2017-05-01,-46.884997
2017-06-01,-59.118557
2017-07-01,-53.796785
2017-08-01,-30.891351
2017-09-01,-13.486652
2017-10-01,-4.9169299
2017-11-01,-7.0853365
2017-12-01,3.6083088
2018-01-01,-23.140381
2018-02-01,-33.173796
2018-03-01,-30.447348
2018-04-01,-32.73263
2018-05-01,-19.229881
2018-06-01,-14.692959
2018-07-01,5.3130282
2018-08-01,8.871272
2018-09-01,-7.8698281
2018-10-01,-1.3853586
2018-11-01,-27.089041
2018-12-01,-15.662626
2019-01-01,-38.199706
2019-02-01,-90.806287
2019-03-01,-83.22259
2019-04-01,-70.61422
2019-05-01,-41.189555
2019-06-01,-28.487073
2019-07-01,17.999584
2019-08-01,23.889958
2019-09-01,36.805553
2019-10-01,15.586013
2019-11-01,-9.7476642
2019-12-01,-12.587907
2020-01-01,-80.420408
2020-02-01,-122.21384
2020-03-01,-95.07527
2020-04-01,-84.146372
2020-05-01,-114.48346
