"cz","cz_name","state","children_in_1980_82_cohorts","am_80_82_cohort","rm_80_82_cohort","p_child_in_q5_parent_in_q1_80_85_cohort","am_college_attendance","rm_college_attendance","am_teenage_birth","rm_teenage_birth","am_females","rm_females","am_males","rm_males","am_males_individual_income","rm_males_individual_income","am_cost_of_living_adjusted","rm_cost_of_living_adjusted","am_2011_2012_parent_income","rm_2011_2012_parent_income","am_single_parents","rm_single_parents","am_married_parents","rm_married_parents","am_83_85_cohort","rm_83_85_cohort","am_80_85_cohort","rm_80_85_cohort","am_white_80_zips","rm_white_80_zips","am_poverty_line","rm_poverty_line","am_college_quality","rm_college_quality"
30502,"Enid","OK",4451,50.01375,0.31895,0.149268791079521,45.12175,0.72459,21.999,-0.27324,50.3725,0.3265,49.69725,0.31289,54.32925,0.27833,52.08475,0.31087,47.567,0.29572,45.74725,0.32561,52.66325,0.25985,50.40925,0.32469,50.19975,0.32131,50.142,0.31536,79.4955,0.27378,42.36781,0.20005
30601,"El Paso","TX",35086,43.7425,0.21986,0.0864412784576416,49.9505,0.61574,26.38,-0.33364,44.814,0.24196,42.6765,0.19798,49.3785,0.16178,45.89575,0.19551,43.17825,0.18729,42.8585,0.21642,44.4555,0.20638,44.16475,0.18383,43.96325,0.20125,,,78.32725,0.13889,42.38538,0.170385
30602,"Alamogordo","NM",2912,42.2035,0.26534,0.0849557518959045,49.99875,0.56087,23.96275,-0.26157,44.019,0.28532,40.25,0.25012,44.57,0.24152,43.373,0.25476,41.568,0.20648,39.55025,0.28769,44.1345,0.21878,43.41975,0.25779,42.8715,0.25978,,,73.4,0.26504,41.12881,0.13838
30603,"Truth or Consequences","NM",350,40.84575,0.26087,0.0812720879912376,42.138,0.7444,,,,,,,,,41.79375,0.26691,38.8145,0.27038,,,,,41.825,0.34632,41.375,0.3028,,,70.236,0.31664,40.59813,0.07186499
30604,"Deming","NM",2562,41.51075,0.29271,0.0697278901934624,43.41625,0.61873,32.4245,-0.33378,40.668,0.26476,42.29225,0.32293,47.70625,0.32025,42.5425,0.27586,40.77275,0.24687,39.04075,0.23347,42.88025,0.26757,43.1655,0.26222,42.38325,0.27493,,,70.7015,0.31038,37.39013,0.12449
30605,"Van Horn","TX",,,,0.22346368432045,,,,,,,,,,,,,,,,,,,,,51.65325,0.18881,,,,,,0
30701,"Roswell","NM",5366,43.9285,0.31838,0.116612374782562,46.1975,0.66138,31.603,-0.34812,43.28125,0.34905,44.55075,0.28887,50.04125,0.25521,45.3365,0.30562,42.971,0.27312,41.794,0.31076,45.80125,0.27977,46.2065,0.27098,45.07375,0.29367,,,72.96674,0.30955,37.99488,0.16608
30702,"Santa Rosa","NM",306,44.7825,0.33034,0.120481930673122,63.44625,0.54265,,,,,,,,,45.93175,0.34079,41.40525,0.35337,,,,,48.3095,0.33966,46.601,0.33288,,,76.3485,0.3021,40.40413,0.195405
30801,"Hobbs","NM",4532,49.13125,0.29689,0.161949679255486,46.725,0.71476,33.811,-0.341,47.1695,0.30218,50.9535,0.29442,57.16975,0.25571,51.21075,0.28115,47.0365,0.27186,45.09375,0.29227,51.703,0.24364,52.15775,0.26311,50.71175,0.27743,,,78.856,0.23072,37.90381,0.183135
30802,"Lubbock","TX",11604,41.37175,0.38323,0.0673753768205643,35.42075,0.85575,34.257,-0.46948,42.58275,0.38867,40.22025,0.37625,45.0145,0.32658,42.93075,0.37159,40.56825,0.33877,39.83925,0.38281,43.117,0.34896,42.7475,0.33794,42.09225,0.35933,51.00525,0.21261,72.43625,0.32569,37.89994,0.23788
30901,"Clovis","NM",3308,43.73175,0.33231,0.0828157365322113,50.519,0.70144,31.4075,-0.43874,44.49,0.35424,42.975,0.31116,48.2525,0.2615,44.96375,0.32523,42.58775,0.25803,41.581,0.40784,46.01775,0.26851,45.4465,0.3247,44.633,0.32656,,,74.20451,0.3273,39.48725,0.177115
