"date","ff","shadow"
2000-08-01,6.65,6.38924460886586
2000-09-01,6.6,6.52055231529091
2000-10-01,6.59,6.64675209900896
2000-11-01,6.62,6.43569011037557
2000-12-01,5.41,5.98895430540875
2001-01-01,5.74,5.04285760684301
2001-02-01,5.59,4.7619666035574
2001-03-01,5.29,4.29516060628621
2001-04-01,4.67,3.8288098407376
2001-05-01,4.24,3.22761275308208
2001-06-01,3.95,3.27215831423739
2001-07-01,3.82,3.04568810187541
2001-08-01,3.66,2.83288398510451
2001-09-01,2.75,2.17295962684192
2001-10-01,2.66,1.57475238792288
2001-11-01,2.06,1.1332188205058
2001-12-01,1.52,0.674666983016517
2002-01-01,1.85,0.953370118909697
2002-02-01,1.83,0.967124990755745
2002-03-01,1.74,1.39709700433259
2002-04-01,1.82,0.932365917163107
2002-05-01,1.79,1.12163283147348
2002-06-01,1.73,1.02043057988522
2002-07-01,1.76,1.14654718139928
2002-08-01,1.81,1.42980223447613
2002-09-01,1.85,1.58505416394464
2002-10-01,1.82,1.44355818499673
2002-11-01,1.23,1.14342055868714
2002-12-01,1.16,1.12457930507984
2003-01-01,1.33,1.01659600280225
2003-02-01,1.33,1.15571679632111
2003-03-01,1.38,1.05894085723081
2003-04-01,1.31,1.01294603259566
2003-05-01,1.28,1.27863507957076
2003-06-01,1.45,1.10038591922318
2003-07-01,1.04,0.937336726389856
2003-08-01,1.01,0.735197156228515
2003-09-01,1.17,0.855586468881595
2003-10-01,1.03,0.833596129519047
2003-11-01,1.01,0.874236413897754
2003-12-01,0.94,0.740095504779112
2004-01-01,1.03,0.752991180645889
2004-02-01,1.04,0.746520513757225
2004-03-01,1.05,0.907943657718065
2004-04-01,1.03,0.869264846613414
2004-05-01,1.02,1.06775546092764
2004-06-01,1.38,1.32480405146639
2004-07-01,1.29,1.43830942277215
2004-08-01,1.55,1.62659549289253
2004-09-01,1.94,1.92645593398973
2004-10-01,1.79,2.0808222692067
2004-11-01,2.02,2.35313380521062
2004-12-01,1.97,2.53487993883285
2005-01-01,2.5,2.67821170608387
2005-02-01,2.52,2.83935816085375
2005-03-01,2.96,2.96344404553743
2005-04-01,2.97,3.07676341118244
2005-05-01,3.09,3.14537187197785
2005-06-01,3.35,3.31739459862898
2005-07-01,3.31,3.57647821600778
2005-08-01,3.63,3.63162501977122
2005-09-01,3.93,4.13786694864163
2005-10-01,4.02,4.20007900629571
2005-11-01,4.03,4.32579053630772
2005-12-01,4.09,4.36298874870074
2006-01-01,4.47,4.53462380350915
2006-02-01,4.52,4.60423285887278
2006-03-01,5,4.76590061397672
2006-04-01,4.86,4.91222177915761
2006-05-01,5.05,5.06507074618961
2006-06-01,5.05,5.2625752369177
2006-07-01,5.31,5.22584157360975
2006-08-01,5.31,5.20360307269765
2006-09-01,5.34,5.15401919502837
2006-10-01,5.31,5.15263490015359
2006-11-01,5.31,5.12825180407402
2006-12-01,5.17,5.16808265104887
2007-01-01,5.33,5.14285309440101
2007-02-01,5.41,5.13377846395438
2007-03-01,5.3,5.17541857240678
2007-04-01,5.29,5.21803089184151
2007-05-01,5.28,5.10184620706178
2007-06-01,5.31,5.00676996358137
2007-07-01,5.28,5.02065864654597
2007-08-01,4.96,4.63787094433425
2007-09-01,4.58,4.29143551383653
2007-10-01,4.6,4.29260737420666
2007-11-01,4.66,3.6877033491324
2007-12-01,3.06,3.69865434177768
2008-01-01,3.22,2.65585610299258
2008-02-01,3.01,2.13786591024869
2008-03-01,2.51,1.87452862600577
2008-04-01,2.37,1.81242339788963
2008-05-01,1.98,1.95643708973093
2008-06-01,2.47,2.0540120740171
2008-07-01,2.09,2.05230976485117
2008-08-01,1.94,2.12608280761542
2008-09-01,2.03,1.91130426170128
2008-10-01,0.22,1.83924343043073
2008-11-01,0.52,1.41995423970649
2008-12-01,0.14,0.649730963760244
2009-01-01,0.23,0.611179097838114
2009-02-01,0.22,0.876102516151378
2009-03-01,0.16,0.750245201133062
2009-04-01,0.2,0.426628499975537
2009-05-01,0.19,0.206639054383323
2009-06-01,0.22,0.0215336786947056
2009-07-01,0.18,-0.117377576455868
2009-08-01,0.15,-0.282742693602966
2009-09-01,0.07,-0.406046107991633
2009-10-01,0.11,-0.474629614380003
2009-11-01,0.13,-0.61039679810896
2009-12-01,0.05,-0.153977591909982
2010-01-01,0.12,-0.447700339468446
2010-02-01,0.13,-0.544687849601062
2010-03-01,0.09,-0.47634944389552
2010-04-01,0.2,-0.466496000421938
2010-05-01,0.19,-0.482831830820778
2010-06-01,0.09,-0.542088200647739
2010-07-01,0.18,-0.589675191488225
2010-08-01,0.21,-0.698543957983021
2010-09-01,0.15,-0.795698811889614
2010-10-01,0.2,-0.99515800878257
2010-11-01,0.2,-0.956014091111987
2010-12-01,0.13,-0.884818562231481
2011-01-01,0.17,-1.01123047631742
2011-02-01,0.16,-1.09130647332291
2011-03-01,0.1,-0.9914596073748
2011-04-01,0.09,-1.06627756408161
2011-05-01,0.1,-1.14043545969703
2011-06-01,0.07,-1.12186599861687
2011-07-01,0.11,-1.19226973070459
2011-08-01,0.08,-1.37712980238424
2011-09-01,0.06,-1.40245812380008
2011-10-01,0.09,-1.43724788969704
2011-11-01,0.1,-1.48353862120547
2011-12-01,0.04,-1.46643799480887
2012-01-01,0.11,-1.53978596169267
2012-02-01,0.1,-1.45168716871696
2012-03-01,0.09,-1.26608957943896
2012-04-01,0.16,-1.26201966646296
2012-05-01,0.16,-1.23722528649586
2012-06-01,0.09,-1.11106693479822
2012-07-01,0.13,-1.17877412651023
2012-08-01,0.13,-1.25866907485365
2012-09-01,0.09,-1.36046425687295
2012-10-01,0.18,-1.33897514089338
2012-11-01,0.16,-1.42284634490325
2012-12-01,0.09,-1.42990080075533
2013-01-01,0.15,-1.35762847246476
2013-02-01,0.14,-1.4224785555073
2013-03-01,0.09,-1.44058932608899
2013-04-01,0.14,-1.52367528531987
2013-05-01,0.09,-1.26902008457479
2013-06-01,0.07,-0.969520218355705
2013-07-01,0.09,-1.52227133190116
2013-08-01,0.07,-1.6664045260805
2013-09-01,0.06,-1.80234780471166
2013-10-01,0.07,-1.85210477371612
2013-11-01,0.07,-1.99894110950279
2013-12-01,0.07,-2.13323502669663
2014-01-01,0.07,-2.37612327846534
2014-02-01,0.06,-2.54228501034923
2014-03-01,0.06,-2.62438688706391
2014-04-01,0.09,-2.89178582148479
2014-05-01,0.08,-2.98564268572991
2014-06-01,0.09,-2.88858153972402
2014-07-01,0.08,-2.83669739100699
2014-08-01,0.07,-2.89256162970558
2014-09-01,0.07,-2.80513891104033
2014-10-01,0.07,-2.80170947134757
2014-11-01,0.08,-2.76834431914866
2014-12-01,0.06,-2.42074792801607
2015-01-01,0.06,-2.26875500815227
2015-02-01,0.06,-1.973647789146
2015-03-01,0.06,-1.80844507528458
2015-04-01,0.08,-1.59495316051584
2015-05-01,0.08,-1.43363711401323
2015-06-01,0.08,-1.40202799414047
2015-07-01,0.08,-1.28821950636037
2015-08-01,0.08,-0.920617426160186
2015-09-01,0.07,-0.742078595295798
2015-10-01,0.07,-0.532405065727792
2015-11-01,0.08,-0.00499964982073198
2015-12-01,0.2,0.257343933402011
2016-01-01,0.29,0.401942967500766
2016-02-01,0.29,0.525883588463189
2016-03-01,0.25,0.506534787355903
2016-04-01,0.3,0.407831709060983
2016-05-01,0.29,0.484172489259397
2016-06-01,0.3,0.417986941505961
2016-07-01,0.3,0.470311803865135
2016-08-01,0.3,0.44985547994314
2016-09-01,0.29,0.510288419099323
2016-10-01,0.31,0.522724628315569
2016-11-01,0.31,0.429255899729838
2016-12-01,0.55,0.422156164009528
2017-01-01,0.56,0.379160199687785
2017-02-01,0.57,0.391065588301561
2017-03-01,0.82,0.636018155030697
2017-04-01,0.83,0.846359595135167
2017-05-01,0.83,1.02901067145467
2017-06-01,1.06,1.05618329169534
2017-07-01,1.07,1.07966960562922
2017-08-01,1.07,1.10630020131335
2017-09-01,1.06,1.10453559025884
2017-10-01,1.07,1.15656697583062
2017-11-01,1.07,1.28358141481448
2017-12-01,1.33,1.40846047043339
2018-01-01,1.34,1.39948536398389
2018-02-01,1.35,1.54602068572774
2018-03-01,1.67,1.64631903440365
2018-04-01,1.69,1.70511573717164
2018-05-01,1.7,1.76917033392566
2018-06-01,1.91,1.89002249336376
2018-07-01,1.91,1.91867145732572
2018-08-01,1.91,2.01071407923434
2018-09-01,2.18,2.16541811803027
2018-10-01,2.2,2.29952410988981
2018-11-01,2.2,2.40300690574254
2018-12-01,2.4,2.53086883426369
2019-01-01,2.4,2.49400295152578
2019-02-01,2.4,2.45541896246867
2019-03-01,2.43,2.4034558197094
2019-04-01,2.45,2.40873044657267
2019-05-01,2.4,2.41446822425448
2019-06-01,2.4,2.18571970212691
2019-07-01,2.4,2.17202441536753
2019-08-01,2.13,2.02046075763572
2019-09-01,1.9,1.95836814200176
2019-10-01,1.58,1.65551873833082
2019-11-01,1.56,1.63859104305014
2019-12-01,1.55,1.60878113820007
2020-01-01,1.59,1.628595281384
2020-02-01,1.58,1.4138110506738
2020-03-01,0.08,0.691363936803738
2020-04-01,0.05,0.497377727737894
2020-05-01,0.05,0.479820931521692
2020-06-01,0.08,0.40381232446004
2020-07-01,0.1,0.252578367728285
2020-08-01,0.09,0.260382931499674
2020-09-01,0.09,0.0790725601400126
2020-10-01,0.09,0.171979140319624
2020-11-01,0.09,-0.22662215495493
2020-12-01,0.09,-0.287665702873503
2021-01-01,0.07,-0.415645088470845
2021-02-01,0.07,-0.479678779411198
2021-03-01,0.06,-1.56151388250159
2021-04-01,0.05,-1.79975298088588
2021-05-01,0.05,-1.99830062009982
2021-06-01,0.08,-1.82668725470846
2021-07-01,0.07,-1.88987060500664
2021-08-01,0.06,-1.7964574077744
2021-09-01,0.06,-1.80964930955821
2021-10-01,0.07,-1.70210147277595
2021-11-01,0.07,-1.84979476366234
2021-12-01,0.07,-1.15481851209033
2022-01-01,0.08,-0.197424790864561
2022-02-01,0.08,0.206380642030308
