"vouch0","sex_name","match_i","match_ic","match_i7","age","phone","checkid","math","read","match_ic7","readcens1","readcens10","mathcens1","mathcens10"
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,32,32,1,32,40,32,35.0000038146973
0,0,1,1,0,12,1,1,39,50,0,50,50,39,39
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,0,1,12,1,1,42,32,0,32,40,42,42
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,0,12,1,1,50,50,0,50,50,50,50
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,43,46,1,46,46,43,43
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,40,55,1,55,55,40,40
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,37,34,1,34,40,37,37
0,0,1,1,1,12,1,1,35,43,1,43,43,35,35.0000038146973
0,0,1,0,1,12,1,1,47,46,0,46,46,47,47
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,34,51,1,51,51,34,35.0000038146973
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,47,43,1,43,43,47,47
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,43,43,1,43,43,43,43
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,0,1,42,52,1,52,52,42,42
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,52,55,1,55,55,52,52
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,0,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,50,44,1,44,44,50,50
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,40,46,1,46,46,40,40
0,0,1,1,0,12,1,1,45,44,0,44,44,45,45
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,45,47,1,47,47,45,45
0,0,1,1,1,12,0,1,39,51,1,51,51,39,39
0,0,1,1,1,12,1,1,50,40,1,40,40,50,50
0,0,1,1,1,12,1,1,48,47,1,47,47,48,48
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,50,47,1,47,47,50,50
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,53,51,1,51,51,53,53
0,0,1,1,0,12,1,1,40,51,0,51,51,40,40
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,39,41,1,41,41,39,39
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,0,12,1,1,42,47,0,47,47,42,42
0,0,1,1,1,12,0,1,52,44,1,44,44,52,52
0,0,1,1,1,12,1,1,50,41,1,41,41,50,50
0,0,1,1,1,12,1,1,47,50,1,50,50,47,47
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,0,1,40,47,1,47,47,40,40
