"id","dbogota","djamundi","d1993","d1995","d1997","vouch0","sex","age","mom_sch","mom_age","dad_sch","dad_age","stratams","rept6","totscyrs","finish6","finish7","finish8","usngsch","hoursum","working","married","haschild","test_tak","response","svy"
456,1,0,0,1,0,1,0,15,5,33,9,43,0,1,3,0,0,0,0,0,0,0,0,1,1,0
459,1,0,0,1,0,1,0,14,5,37,,,0,0,4,1,1,1,1,8,1,0,0,1,1,0
460,1,0,0,1,0,0,0,15,9,33,9,33,0,0,3,1,1,0,0,0,0,0,0,0,1,0
461,1,0,0,1,0,0,0,15,7,30,6,41,0,0,4,1,1,1,0,0,0,0,0,0,1,0
463,1,0,0,1,0,0,0,13,11,41,10,50,0,0,4,1,1,1,0,0,0,0,0,0,1,0
466,1,0,0,1,0,1,0,16,4,37,,,0,1,3,1,0,0,0,40,1,0,0,0,1,0
468,1,0,0,1,0,1,0,13,3,36,2,46,0,0,4,1,1,1,1,0,0,0,0,1,1,0
469,1,0,0,1,0,0,1,17,2,37,,,0,0,3,1,0,0,0,40,1,0,0,0,1,0
472,1,0,0,1,0,1,0,12,5,42,5,40,0,0,4,1,1,1,1,0,0,0,0,1,1,0
475,1,0,0,1,0,0,0,17,5,45,5,50,0,0,4,1,1,1,0,0,0,0,0,0,1,0
476,1,0,0,1,0,1,0,18,0,58,5,54,0,0,2,1,0,0,0,40,1,0,0,0,1,0
477,1,0,0,1,0,0,0,14,10,35,10,43,0,0,4,1,1,1,0,0,0,0,0,1,1,0
478,1,0,0,1,0,0,1,15,6,40,,,0,0,5,1,1,1,0,0,0,0,0,0,1,0
483,1,0,0,1,0,0,0,17,4,44,0,52,0,0,4,1,1,1,0,0,0,0,0,0,1,0
485,1,0,0,1,0,0,0,15,9,37,8,36,0,0,4,1,1,1,1,0,0,0,0,0,1,0
486,1,0,0,1,0,0,0,14,5,35,,,0,0,4,1,1,1,0,0,0,0,0,1,1,0
487,1,0,0,1,0,0,1,17,5,42,6,41,0,0,2,1,1,0,0,40,1,1,1,1,1,0
489,1,0,0,1,0,1,0,15,11,34,9,35,0,0,4,1,1,1,0,0,0,0,0,0,1,0
490,1,0,0,1,0,0,0,16,7,39,5,45,0,0,4,1,1,1,0,0,0,0,0,1,1,0
492,1,0,0,1,0,0,0,18,7,46,5,49,0,0,4,1,1,0,0,0,0,0,0,1,1,0
494,1,0,0,1,0,1,1,14,5,38,,38,1,0,4,1,1,1,1,0,0,0,0,0,1,0
497,1,0,0,1,0,1,0,16,5,42,6,48,0,1,5,1,1,1,1,0,0,0,0,0,1,0
499,1,0,0,1,0,1,1,16,,,,,0,1,3,1,1,0,0,28,1,0,1,0,1,0
500,1,0,0,1,0,1,1,14,3,47,4,51,0,0,4,1,1,1,1,0,0,0,0,0,1,0
501,1,0,0,1,0,0,0,14,5,43,3,45,0,0,4,1,1,1,0,0,0,0,0,1,1,0
503,1,0,0,1,0,1,1,15,0,60,0,64,0,0,4,1,1,1,1,0,0,0,0,1,1,0
