"grade","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_numrd","c_type","flgrm","mrkgrm","ngrm","flmth","mrkmth","nmth","towncode","townname","popcode","tip_a","classid","classize","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
5,21370,68,35,33,14,1,1,1,"1",2,2,29.6900005340576,73,64,12.1199998855591,71,66,8748,"—Ž’„ Œƒ‚Ž",11,9,1,34,68,34,66.9400024414062,11.8000001907349,32,73.2200012207031,21.8999996185303,1,0,0,0,0,2,70.6345443725586,12.1393938064575,66,73.0299987792969,29.7000007629395,64,0,,,9,8748,9
5,21370,68,35,33,14,1,1,1,"1",2,2,29.6900005340576,73,64,12.1199998855591,71,66,8748,"—Ž’„ Œƒ‚Ž",11,9,2,34,68,32,74.5599975585938,12.5,32,72.8399963378906,37.5,1,0,0,0,0,2,70.6345443725586,12.1393938064575,66,73.0299987792969,29.7000007629395,64,0,,,9,8748,9
5,21371,79,49,30,14,1,1,1,"1",2,2,16.6700000762939,82,72,13.1599998474121,73,76,91009,"„‰˜„",11,3,1,39,79,36,66.0599975585938,16.7000007629395,34,77.0899963378906,20.6000003814697,1,0,0,0,0,2,73.0284194946289,13.1736841201782,76,81.8874969482422,16.6944446563721,72,0,,,3,91009,3
5,21371,79,49,30,14,1,1,1,"1",2,2,16.6700000762939,82,72,13.1599998474121,73,76,91009,"„‰˜„",11,3,2,40,79,40,79.3000030517578,10,38,86.1800003051758,13.1999998092651,1,0,0,0,0,2,73.0284194946289,13.1736841201782,76,81.8874969482422,16.6944446563721,72,0,,,3,91009,3
5,21373,50,23,27,11,1,1,1,"0",2,2,10.6400003433228,85,47,4.26000022888184,80,47,12633,"‰ƒ˜… ˜”‹",11,1,1,25,50,25,81.5999984741211,0,25,84.1999969482422,12,1,0,0,0,0,2,80.2987213134766,4.25957441329956,47,84.6587219238281,10.6425533294678,47,0,,,1,12633,1
5,21373,50,23,27,11,1,1,1,"0",2,2,10.6400003433228,85,47,4.26000022888184,80,47,12633,"‰ƒ˜… ˜”‹",11,1,2,25,50,22,78.8199996948242,9.10000038146973,22,85.1800003051758,9.10000038146973,1,0,0,0,0,2,80.2987213134766,4.25957441329956,47,84.6587219238281,10.6425533294678,47,0,,,1,12633,1
5,21374,47,22,25,8,1,1,1,"0",2,2,9.30000019073486,84,43,6.98000001907349,84,43,12443,"š˜Žš",11,0,1,24,47,21,83.2900009155273,9.5,21,84.4300003051758,4.80000019073486,1,0,0,0,0,2,84.0011596679688,6.94186067581177,43,84.1639556884766,9.30232524871826,43,0,,,0,12443,0
5,21374,47,22,25,8,1,1,1,"0",2,2,9.30000019073486,84,43,6.98000001907349,84,43,12443,"š˜Žš",11,0,2,23,47,22,84.6800003051758,4.5,22,83.9100036621094,13.6000003814697,1,0,0,0,0,2,84.0011596679688,6.94186067581177,43,84.1639556884766,9.30232524871826,43,0,,,0,12443,0
5,21375,78,44,34,13,1,2,1,"3",2,2,48.5299987792969,64,68,39.1300010681152,55,69,76000,"…‹’",11,11,1,39,78,39,54.5099983215332,41,38,63.2099990844727,50,1,0,0,0,0,2,54.2977905273438,42.8259735107422,77,63.0825004577637,50,72,0,,,11,76000,11
5,21375,78,44,34,13,1,2,1,"3",2,2,48.5299987792969,64,68,39.1300010681152,55,69,76000,"…‹’",11,11,2,39,78,38,54.0800018310547,44.7000007629395,34,62.939998626709,50,1,0,0,0,0,2,54.2977905273438,42.8259735107422,77,63.0825004577637,50,72,0,,,11,76000,11
