"date","pc1ff1_hf","sp500_hf","mp_pm","cbi_pm","mp_median","cbi_median"
2018-03-01,-0.00264521,0.36319,-0.00264521,0,-0.02347242,0.02082721
2018-04-01,0,0,0,0,0,0
2018-05-01,-0.00841881,0.14705,-0.00841881,0,-0.01317752,0.00475871
2018-06-01,0.01667686,-0.1356,0.01667686,0,0.01660825,6.861e-05
2018-07-01,0,0,0,0,0,0
2018-08-01,-0.00257149,0.02846,-0.00257149,0,-0.00302143,0.00044994
2018-09-01,-0.000333,0.24566,-0.000333,0,-0.01514853,0.01481553
2018-10-01,0,0,0,0,0,0
2018-11-01,0.00771769,0.07201,0,0.00771769,-0.00053282,0.00825051
2018-12-01,0.02652325,-0.78956,0.02652325,0,0.0614144,-0.03489115
2019-01-01,-0.02604705,0.79086,-0.02604705,0,-0.06125558,0.03520853
2019-02-01,0,0,0,0,0,0
2019-03-01,-0.03035617,0.43128,-0.03035617,0,-0.04148049,0.01112432
2019-04-01,0,0,0,0,0,0
2019-05-01,-0.048278,0.22228,-0.048278,0,-0.03769516,-0.01058284
2019-06-01,-0.07162152,0.30974,-0.07162152,0,-0.05470083,-0.01692069
