"year","activity","sex","age_group","hours"
1933,"home_production","male","14-17",3.72645428571429
1933,"home_production","male","18-24",7.69476236556507
1933,"home_production","male","25-54",7.17346351796956
1933,"home_production","male","55-64",7.83333150732563
1933,"home_production","male","65+",9.40879412623425
1934,"home_production","all","14+",23.3081395982489
1934,"home_production","all","14-17",10.2671287610624
1934,"home_production","all","18-24",20.7013647552627
1934,"home_production","all","25-54",26.1458206917973
1934,"home_production","all","55-64",24.9796565354563
1934,"home_production","all","65+",23.8914121077849
1934,"home_production","female","14+",39.6775101498691
1934,"home_production","female","14-17",16.898
1934,"home_production","female","18-24",33.3243027905497
1934,"home_production","female","25-54",45.5224066002103
1934,"home_production","female","55-64",43.3009140456075
1934,"home_production","female","65+",38.0901914419921
1934,"home_production","male","14+",7.03968454428125
1934,"home_production","male","14-17",3.70133142857143
1934,"home_production","male","18-24",7.49946586002212
1934,"home_production","male","25-54",7.03696108890866
1934,"home_production","male","55-64",7.76699491738117
1934,"home_production","male","65+",9.49156204161471
1935,"home_production","all","14+",23.2202175521064
1935,"home_production","all","14-17",10.2124562291576
1935,"home_production","all","18-24",20.5391113283759
1935,"home_production","all","25-54",26.0124956106047
1935,"home_production","all","55-64",25.0107252627492
1935,"home_production","all","65+",24.0186297021361
1935,"home_production","female","14+",39.4011304758352
1935,"home_production","female","14-17",16.805
1935,"home_production","female","18-24",33.0493525384436
1935,"home_production","female","25-54",45.1263319456316
1935,"home_production","female","55-64",43.1509735040966
1935,"home_production","female","65+",38.0857449861622
1935,"home_production","male","14+",7.09794734862889
1935,"home_production","male","14-17",3.67607142857143
1935,"home_production","male","18-24",7.46894331360314
1935,"home_production","male","25-54",7.09831863587745
1935,"home_production","male","55-64",7.8923276566574
1935,"home_production","male","65+",9.68759149900323
1936,"home_production","all","14+",22.963558150336
1936,"home_production","all","14-17",10.120953680161
1936,"home_production","all","18-24",20.1286304359465
1936,"home_production","all","25-54",25.6875406580299
1936,"home_production","all","55-64",24.9000834380565
1936,"home_production","all","65+",24.0992943260943
1936,"home_production","female","14+",38.9449647071199
