"date","GPR","GPRT","GPRA","GPRH","GPRHT","GPRHA","SHARE_GPR","N10","SHARE_GPRH","N3H","SHAREH_CAT_1","SHAREH_CAT_2","SHAREH_CAT_3","SHAREH_CAT_4","SHAREH_CAT_5","SHAREH_CAT_6","SHAREH_CAT_7","SHAREH_CAT_8","GPRC_ARG","GPRC_AUS","GPRC_BEL","GPRC_BRA","GPRC_CAN","GPRC_CHE","GPRC_CHL","GPRC_CHN","GPRC_COL","GPRC_DEU","GPRC_DNK","GPRC_EGY","GPRC_ESP","GPRC_FIN","GPRC_FRA","GPRC_GBR","GPRC_HKG","GPRC_HUN","GPRC_IDN","GPRC_IND","GPRC_ISR","GPRC_ITA","GPRC_JPN","GPRC_KOR","GPRC_MEX","GPRC_MYS","GPRC_NLD","GPRC_NOR","GPRC_PER","GPRC_PHL","GPRC_POL","GPRC_PRT","GPRC_RUS","GPRC_SAU","GPRC_SWE","GPRC_THA","GPRC_TUN","GPRC_TUR","GPRC_TWN","GPRC_UKR","GPRC_USA","GPRC_VEN","GPRC_VNM","GPRC_ZAF"
1971-02-01,,,,99.541748046875,114.3134765625,95.920295715332,,,3.5908944606781,9357,0.299241214990616,0.0213743727654219,1.41070854663849,0.587795257568359,0.0427487455308437,0.267179638147354,1.50689327716827,0.224430903792381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-03-01,,,,88.1345291137695,89.8887100219727,84.3886642456055,,,3.17938756942749,10285,0.476421982049942,0.0291686914861202,0.933398127555847,0.291686922311783,0.0777831822633743,0.272241115570068,1.24453091621399,0.252795338630676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-04-01,,,,93.0986557006836,89.4698181152344,93.6750946044922,,,3.35846471786499,10213,0.411240577697754,0.048957210034132,0.910604119300842,0.293743282556534,0.156663075089455,0.450406342744827,1.33163619041443,0.254577487707138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-05-01,,,,73.1399993896484,66.7381896972656,78.9301910400391,,,2.6384711265564,10309,0.271607339382172,0.0873023569583893,0.59171599149704,0.407411009073257,0.0291007850319147,0.397710740566254,1.06702876091003,0.252206802368164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-06-01,,,,73.6328430175781,77.8259658813477,73.4582443237305,,,2.65625,9600,0.354166656732559,0.0416666679084301,0.854166686534882,0.22916667163372,0.0625,0.34375,0.958333313465118,0.270833343267441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-07-01,,,,94.8172454833984,103.724822998047,87.6122665405273,,,3.42046141624451,9794,0.4084133207798,0.10210333019495,1.03124356269836,0.612619996070862,0.0204206649214029,0.459464967250824,1.09250557422638,0.336940973997116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-08-01,,,,79.9136962890625,88.3064651489258,69.2993316650391,,,2.88282704353333,9678,0.464972108602524,0.165323421359062,0.723289906978607,0.351312249898911,0.134325280785561,0.392643094062805,0.795618951320648,0.289315968751907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-09-01,,,,78.3456039428711,86.3501663208008,64.0640182495117,,,2.82625937461853,10084,0.466084897518158,0.0892502963542938,0.644585490226746,0.426418095827103,0.0991669967770576,0.357001185417175,0.535501778125763,0.495834976434708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-10-01,,,,83.1978607177734,97.8912887573242,67.3596878051758,,,3.00130081176758,10762,0.492473512887955,0.139379292726517,0.901319444179535,0.436721801757812,0.0650436729192734,0.464597672224045,0.696896493434906,0.306634455919266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-11-01,,,,91.9717254638672,113.674499511719,73.1969146728516,,,3.31781148910522,10308,0.591773390769958,0.164920449256897,0.873108267784119,0.591773390769958,0.0582072176039219,0.514163732528687,0.805199861526489,0.28133487701416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-12-01,,,,110.203392028809,108.670921325684,116.479927062988,,,3.97550535202026,10288,0.583203732967377,0.174961119890213,1.13724732398987,0.233281493186951,0.0388802476227283,1.0983669757843,1.18584764003754,0.252721607685089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-01-01,,,,87.9457244873047,87.1112976074219,90.0944976806641,,,3.17257642745972,10181,0.304488748311996,0.0196444354951382,0.992044031620026,0.343777626752853,0.0687555223703384,0.373244285583496,1.07062172889709,0.491110891103745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-02-01,,,,78.8551025390625,78.9704437255859,80.6751708984375,,,2.84463906288147,9597,0.333437532186508,0.0625195354223251,0.885693430900574,0.302177757024765,0.0208398457616568,0.333437532186508,0.979472756385803,0.437636762857437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
