"year","school_id","student_id","treated","pair","m_ahim","boy","ole5","educav","educem","zakaibag","lagscore","semrel","semarab","att18","att20","att22","att24","awr18","awr20","awr22","awr24","achv_math","achv_eng","achv_hib"
2000,10,1918,1,15,1,1,0,12,15,1,70,0,0,1,1,1,1,1,1,1,1,1,1,1
2000,10,1920,1,15,4,0,0,12,10,1,86.4000015258789,0,0,1,1,1,1,1,1,1,1,1,1,1
2000,9,1927,0,16,4,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,9,1928,0,16,4,1,0,8,8,0,69.25,0,1,1,1,0,0,0,0,0,0,0,0,1
2000,14,1929,1,3,7,1,0,8,7,0,36.25,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,14,1931,1,3,7,0,0,4,7,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,9,1932,0,16,6,1,0,8,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,9,1933,0,16,7,0,0,12,7,1,87.3333358764648,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,9,1934,0,16,10,1,0,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,14,1939,1,3,7,1,0,15,8,0,57.3333320617676,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,9,1942,0,16,4,1,0,10,4,0,72.5,0,1,1,1,1,1,1,1,1,1,0,1,1
2000,11,2018,1,17,2,1,0,12,12,0,85.5,0,1,1,1,1,1,1,1,1,1,1,0,1
2000,12,2019,0,1,2,1,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,7,2021,0,12,5,1,0,8,7,0,48,0,1,1,1,1,1,1,1,1,1,0,0,1
2000,15,2024,0,7,6,0,0,12,10,0,69.375,1,0,1,1,1,1,1,1,1,1,0,0,1
2000,39,2027,1,12,9,0,0,12,12,0,70.6666641235352,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,12,2030,0,1,4,0,0,4,4,0,70,0,1,1,1,1,1,1,1,1,1,1,0,1
2000,8,2031,0,15,6,0,0,8,3,0,47,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,11,2032,1,17,2,1,0,8,12,1,76.625,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,11,2033,1,17,1,1,0,12,12,1,91.8571395874023,0,1,1,1,1,1,1,1,1,1,1,1,1
