"date","SENT","SENT_ORTH","pdnd","ripo","nipo","cefd","s","indpro","consdur","consnon","consserv","recess","employ","cpi"
2010-08-01,-0.262342363595963,-0.484947293996811,-3.64349985122681,14.1,16,7.98999977111816,0.230000004172325,92.5898971557617,1053.69995117188,2262.19995117188,6991.2001953125,0,130423,217.923004150391
2010-09-01,-0.250973284244537,-0.312129259109497,-5.94087982177734,11.5,15,7.51000022888184,0.209999993443489,92.8563995361328,1056.09997558594,2279.69995117188,6991.2998046875,0,130340,218.274993896484
2010-10-01,-0.367136627435684,-0.52979177236557,-7.05779266357422,11.6,25,7.28000020980835,0.209999993443489,92.6036987304688,1079.19995117188,2297.89990234375,7009.2998046875,0,130620,219.035003662109
2010-11-01,-0.422598212957382,-0.673117160797119,-6.59375238418579,10.5,26,9.10999965667725,0.209999993443489,92.6772994995117,1077.5,2323.39990234375,7032.7001953125,0,130754,219.589996337891
2010-12-01,-0.39720219373703,-0.534137964248657,-6.63441610336304,8.7,20,9.57999992370605,0.159999996423721,93.5850982666016,1078.69995117188,2339.80004882812,7052.5,0,130836,220.47200012207
2011-01-01,-0.378357082605362,-0.316474795341492,-6.17385625839233,15.1,16,7.69000005722046,0.150000005960464,93.394401550293,1085,2365.39990234375,7063.7998046875,0,130839,221.186996459961
2011-02-01,-0.311689257621765,-0.175844937562943,-6.41359758377075,8.4,21,6.85363626480103,0.150000005960464,92.9929962158203,1083.80004882812,2373.5,7083.39990234375,0,131054,221.897994995117
2011-03-01,-0.268072366714478,-0.202995136380196,-6.59451341629028,11.7,13,7.10863637924194,0.159999996423721,93.9820022583008,1095,2404.39990234375,7120.2998046875,0,131278,223.046005249023
2011-04-01,-0.302225679159164,-0.159112736582756,-5.9794397354126,16.8,22,7.93318176269531,0.150000005960464,93.6524963378906,1090.90002441406,2430.39990234375,7130.7998046875,0,131604,224.093002319336
2011-05-01,-0.154010459780693,0.166965514421463,-6.17956161499023,14.1,29,5.37454557418823,0.150000005960464,93.7774963378906,1081.19995117188,2425.10009765625,7165.89990234375,0,131704,224.805999755859
2011-06-01,-0.229509234428406,0.14128789305687,-5.29516267776489,8.8,18,5.88181829452515,0.140000000596046,94.0466995239258,1076.59997558594,2439.19995117188,7179,0,131936,224.805999755859
2011-07-01,-0.259295523166656,0.119905441999435,-7.31283855438232,27.6,17,6.63681840896606,0.140000000596046,94.4931030273438,1085.69995117188,2430.5,7215.39990234375,0,131992,225.395004272461
2011-08-01,-0.271790623664856,0.211709320545197,-5.17597007751465,30,5,6.52863645553589,0.140000000596046,95.0969009399414,1085.19995117188,2433.80004882812,7231.2001953125,0,132123,226.106002807617
