"date","tothrs","avgwkhrs","avgwkhrs_adj","effhrsvw","effhrstorn","civnipop16","nipop16","nipop16_17","nipop18_21","nipop22_24","nipop25_34","nipop35_44","nipop45_54","nipop55_64","nipop65","gengovhrs","nprofhrs","bushrs","effhrs70","effhrs80","effhrs7080","rgdp","xbus","hrsbusindex","fisherdlp","dlp","ffr"
1986-01-01,199.891,21.1309468244471,21.2734324837559,168.302212999853,178.734883364786,179821,181916.0175,7464.0735,15808.196,12494.856,41939.592,32512.842,22481.588,21870.766,27344.104,30.202,11.666,156.517,187.196728495204,174.218999851937,180.707864173585,6207.4,89.109001159668,94.806999206543,0.014688,0.22370956005264,7.82666683197021
1986-04-01,200.567,21.1420052047182,21.2767543292285,168.784768809452,179.430710357709,180311,182435.7555,7472.7615,15763.281,12413.929,42097.8,32836.792,22530.452,21836.11,27484.63,31.078,11.754,156.155,187.901452103394,174.89496675312,181.398209428272,6232,89.6490020751953,94.5879974365234,0.0015633,0.222563112020794,6.92000007629395
1986-07-01,200.916,21.1276233458031,21.253051493643,168.996773361997,179.835018444425,180828,182877.6085,7460.8935,15695.802,12330.013,42207.92,33136.74,22638.486,21776.148,27631.606,30.46,11.885,156.996,188.299232106406,175.288934886282,181.794083496359,6291.7,90.0989990234375,95.0979995727539,0.0057232,0.250623805536208,6.20666646957397
1986-10-01,202.645,21.2580764923744,21.3741025417298,170.373619761605,181.476021206955,181363,183319.466,7449.026,15628.322,12246.096,42318.044,33436.688,22746.52,21716.188,27778.582,30.957,12.021,158.155,189.990365734765,176.890853518891,183.440609626844,6323.4,89.8310012817383,95.8000030517578,0.011237,0.283027708619073,6.26666641235352
1987-01-01,204.937,21.4468203926987,21.5533640700609,172.227058622088,183.623580290016,181998,183761.326,7437.158,15560.842,12162.18,42428.168,33736.636,22854.556,21656.228,27925.558,31.241,12.148,159.981,192.210348850011,178.98949410365,185.599921476847,6365,89.4160003662109,96.9059982299805,0.020223,0.357351956991607,6.21999979019165
1987-04-01,205.468,21.4508116187707,21.5477939225333,172.593911301573,184.183940177392,182533,184203.179,7425.29,15493.363,12078.264,42538.288,34036.584,22962.59,21596.266,28072.534,30.601,12.31,160.976,192.779668487664,179.55522179141,186.167445139554,6435,90.0039978027344,97.5090026855469,0.019618,0.236015577662897,6.65000009536743
1987-07-01,206.145,21.4751233329735,21.5590487664417,173.088146082143,184.876558432408,183002,184600.892,7404.413,15418.631,11997.002,42606.008,34271.992,23174.164,21537.85,28190.832,30.17,12.495,161.986,193.486827577198,180.253257295205,186.87004243622,6493.4,90.1389999389648,98.120002746582,0.019683,0.322367332311842,6.84333324432373
1987-10-01,209.263,21.7530738097563,21.8238578962484,175.635677999347,187.760785355163,183470,184998.612,7383.536,15343.899,11915.741,42673.728,34507.404,23385.736,21479.436,28309.132,31.493,12.562,163.635,196.487305852235,183.092134179312,189.789720015794,6606.8,90.9540023803711,99.120002746582,0.0079918,0.314120309667743,6.91666650772095
1988-01-01,209.722,21.7540190074005,21.8115778904062,175.955227472915,188.261589546748,183969,185396.3345,7362.6595,15269.167,11834.48,42741.452,34742.816,23597.308,21421.02,28427.432,31.738,12.665,163.745,196.993652842137,183.611148530662,190.302400686422,6639.1,91.2149963378906,99.1859970092773,0.0074321,0.367798124213692,6.66333341598511
1988-04-01,212.665,22.0120697809844,22.0563205961073,178.563711358954,191.209825472543,184374,185794.0475,7341.7825,15194.435,11753.218,42809.172,34978.224,23808.882,21362.604,28545.73,32.238,12.841,166.004,199.836041502596,186.311598881629,193.073820192137,6723.5,91.370002746582,100.554000854492,0.013868,0.413183666704839,7.15666675567627
1988-07-01,212.909,21.9916656486302,22.022250796839,178.912541376293,191.73683985141,184830,186179.797,7305.362,15117.591,11692.068,42830.388,35282.48,23978.176,21295.304,28678.428,32.003,13.042,166.325,200.145129057755,186.654029647845,193.399579352827,6759.4,91.6139984130859,100.749000549316,0.014874,0.482360013409618,7.98333311080933
