"date","price","d12","e12","ret","retx","AAA","BAA","lty","ltr","corpr","tbl","Rfree","dp","dy","ep","de","bm","tms","dfy","dfr","infl","eqis","ntis","svar","cay","ik","csp","pce","vp","impvar","vrp","govik","lzrt","skew","crdstd","ogap","wtexas","accrul","cfacc","sntm","ndrbl","skvw","tail","fbm","dtoy","dtoat","ygap","rdsp","rsvix","gpce","gip","tchi","house","avgcor","shtint","disag"
2000-08-01,1517.68,16.466,53.1066666666667,0.062594,0.061275,0.0755,0.0826,0.0594,0.024,0.0135,0.0609,0.005,0.0108494544304465,0.0115080058427626,0.0349920053414861,0.310055234747678,0.146053064043633,-0.00149999999999999,0.0071,-0.0105,0,,0.00467463875741479,0.00103925287743066,,,-0.00027761545,,TRUE,TRUE,TRUE,,-1.45382929239705,,,0.130750931230962,0.203272727272727,,,TRUE,TRUE,0.0466870814561844,0.395111918449402,0.476442887892104,0.956676544701091,0.956676544701091,-3.4092995095165,0.0668251832727263,TRUE,,,-0.265008700961087,,0.100923277437687,TRUE,TRUE
2000-09-01,1436.51,16.347,53.7,-0.052088,-0.052795,0.0762,0.0835,0.0612,-0.0157,0.0046,0.06,0.0051,0.0113796632115335,0.0107710452796373,0.0373822667437052,0.304413407821229,0.153789462878596,0.0012,0.00729999999999999,0.0203,0.00520833333333326,,0.004468919426584,0.00159999524815914,,,-0.00050848747,,TRUE,TRUE,TRUE,,-1.55459696779203,,,0.133842582835726,-0.0670897552130554,,,FALSE,TRUE,0.0534372664988041,0.391446828842163,0.454022494790836,0.90855055625788,0.90855055625788,-3.34293917168083,0.0478601123083502,TRUE,,,-1.06304960348688,,0.0815486013889313,TRUE,TRUE
2000-10-01,1429.4,16.3216666666667,52.4666666666667,-0.00412,-0.004829,0.0755,0.0834,0.06,0.0187,0.0045,0.0611,0.0056,0.0114185439111982,0.01136202787775,0.036705377547689,0.311086404066074,0.14930078887158,-0.0011,0.0079,-0.0142,0.0017271157167531,,0.00374428339759022,0.00556820931817075,,,-0.0013389528,,TRUE,TRUE,FALSE,,-1.64373901722936,,,0.128440676129872,0.0592808551992225,,,TRUE,TRUE,0.0724043175578117,0.401753753423691,0.448153332451176,0.935866136426062,0.935866136426062,-3.3606450722899,0.0484122869410007,TRUE,,,-1.63775807808909,,0.102894902229309,FALSE,TRUE
2000-11-01,1314.95,16.2963333333333,51.2333333333333,-0.078268,-0.079557,0.0745,0.0828,0.0576,0.0319,0.0263,0.0617,0.0051,0.0123931201439852,0.0114008208572361,0.0389621912113262,0.318080676642811,0.157280892925701,-0.0041,0.0083,-0.0056,0.000574712643678144,,0.00115745086950226,0.00327241438921082,,,-0.0018525551,,TRUE,TRUE,TRUE,,-1.54382845529782,,,0.127215668048543,0.0278287461773699,,,FALSE,TRUE,-0.0179781280457973,0.422434389591217,0.460106987063856,0.888382476128084,0.888382476128084,-3.30078746294685,0.0602343005024403,TRUE,,,-2.68533577651543,,0.104797273874283,FALSE,TRUE
2000-12-01,1320.28,16.271,50,0.00572,0.004861,0.0721,0.0802,0.0558,0.0243,0.027,0.0577,0.005,0.0123239009906989,0.0123738545191832,0.0378707546883994,0.32542,0.151851503649205,-0.00189999999999999,0.0081,0.0027,-0.000574382538770735,,-0.00226174682514346,0.00529924807329229,,,-0.00052485301,,TRUE,TRUE,TRUE,,-1.70202297304022,,,0.122446594204034,-0.204998512347516,,,FALSE,TRUE,0.00931962393224239,0.429719030857086,0.497582144831675,0.920145730863654,0.920145730863654,-3.32464937905387,0.0654348787820046,TRUE,,,-2.68533577651543,,0.129071921110153,FALSE,TRUE
2001-01-01,1366.01,16.1716666666667,48.48,0.032372,0.031555,0.0715,0.0793,0.0562,5e-04,0.0359,0.0515,0.0054,0.0118386151394695,0.012248664424718,0.03549022335122,0.33357398239824,0.150449666221905,0.0047,0.00779999999999999,0.0354,0.0063218390804598,,-0.00319259613620702,0.00494101796350665,,,-0.0015650504,,TRUE,TRUE,TRUE,,-1.82900542163343,,,0.116178931160881,0.0711077844311379,,,FALSE,TRUE,0.0680053383111954,0.401715189218521,0.466570282261886,0.962576830311989,0.928719489413102,-3.38881083286069,0.0765315155058136,TRUE,,,-2.17734127385134,,0.133858144283295,FALSE,TRUE
2001-02-01,1239.94,16.0723333333333,46.96,-0.090952,-0.092131,0.071,0.0787,0.0549,0.0191,0.0127,0.0488,0.0038,0.0129621863423499,0.011765897272592,0.0378728002967886,0.342255820556502,0.15607009127122,0.0061,0.00770000000000001,-0.0064,0.00399771559109086,,-0.00685572590026354,0.00252841022848019,,,-0.0022728464,,TRUE,TRUE,TRUE,,-1.95791757967798,,,0.108151281766252,-0.0443745632424878,,,FALSE,TRUE,-0.0021490971557796,0.40846848487854,0.321456916879011,0.927912125220147,0.895274068538887,-3.32326418670659,0.0733365310927988,TRUE,,,-2.4134742659674,,0.125163897871971,FALSE,TRUE
2001-03-01,1160.33,15.973,45.44,-0.063706,-0.064587,0.0698,0.0784,0.0559,-0.0074,-0.0029,0.0442,0.0042,0.0137659114217507,0.01288207493911,0.0391612730861048,0.351518485915493,0.133113551448231,0.0117,0.0086,0.0045,0.00227531285551752,,-0.0052134481194394,0.00713959453163936,,,-0.0018640665,,TRUE,TRUE,TRUE,,-1.89447421120855,,,0.104609895182724,-0.0358318098720293,,,FALSE,TRUE,0.0265881344676018,0.421150863170624,0.306967058210297,0.873405925747792,0.842685051070632,-3.28780894797401,0.0664471931474476,TRUE,,,-2.68533577651543,,0.178039446473122,FALSE,TRUE
2001-04-01,1249.46,15.8773333333333,42.5566666666667,0.077824,0.076981,0.072,0.0807,0.0593,-0.0313,-0.0128,0.0387,0.0039,0.0127073562445643,0.0136834636123631,0.0340600472737556,0.373086864572726,0.122496900603682,0.0206,0.0087,0.0185,0.003972758229285,,-0.00254302113243642,0.00742626114165442,,,-0.0010245789,,TRUE,TRUE,TRUE,,-1.76821409870093,,,0.0995284491140715,0.08001516875237,,,FALSE,TRUE,0.0437068901956081,0.434295892715454,0.363111291635656,0.949103675830899,0.915720234957323,-3.42975282519653,0.0503402733141179,TRUE,,,-2.68533577651543,,0.276028335094452,FALSE,TRUE
2001-05-01,1255.82,15.7816666666667,39.6733333333333,0.006859,0.00533,0.0729,0.0807,0.0594,0.0037,0.0132,0.0362,0.0032,0.0125668222091276,0.0126307898345419,0.0315915762874722,0.397790287346664,0.120510187998605,0.0232,0.0078,0.0095,0.00452232899943472,,-0.000248285771581836,0.00253623740110153,,,-0.0011840987,,TRUE,TRUE,TRUE,,-1.77698635252228,,,0.0932599483640972,-0.0031601123595506,,,FALSE,TRUE,0.0510958284139633,0.43042454123497,0.384651175677339,0.96242873472383,0.930816225908429,-3.50736233606523,0.0442439747792831,TRUE,,,-1.63482179595243,,0.302467614412308,FALSE,TRUE
2001-06-01,1224.42,15.686,36.79,-0.024505,-0.025183,0.0718,0.0797,0.059,0.0085,0.0055,0.0349,0.0028,0.0128109635582562,0.012490643563568,0.030046879338789,0.426365860288122,0.125209432831343,0.0241,0.00789999999999999,-0.003,0.00168823860438949,,0.00504076016962763,0.00150835829542523,,,-0.0015922058,,TRUE,TRUE,TRUE,,-1.79616928969919,,,0.0864884579143901,-0.0711518140190208,,,FALSE,TRUE,0.0399293974041939,0.423027396202087,0.509752765419954,0.926307470858852,0.895881422641683,-3.55644975394128,0.0428280702660094,TRUE,,,-1.36806733013085,,0.265809267759323,FALSE,TRUE
2001-07-01,1211.23,15.7026666666667,33.9633333333333,-0.009317,-0.010248,0.0713,0.0797,0.0561,0.0376,0.0361,0.0351,0.003,0.0129642319515424,0.0128245754452448,0.0280403666796012,0.462341741093336,0.124966583282288,0.021,0.00839999999999999,-0.0015,-0.0028089887640449,,0.0079138394021077,0.00289961342819062,,,-0.0020270501,,TRUE,TRUE,TRUE,,-1.78641845147303,,,0.0785903175425391,0.012514220705347,,,FALSE,TRUE,0.0450971201062202,0.447809278964996,0.510083459556217,0.928107624678953,0.897622447534671,-3.62518341006666,0.0441475620159462,TRUE,,,-2.4211078484237,,0.211925074458122,FALSE,TRUE
2001-08-01,1133.58,15.7193333333333,31.1366666666667,-0.063435,-0.064933,0.0702,0.0785,0.0546,0.0206,0.0156,0.0336,0.0031,0.0138669818921764,0.0129779920686685,0.0274675511800373,0.504849587838561,0.132164143814656,0.021,0.0083,-0.005,0,,0.00991832815652033,0.00222152121651241,,,-0.0026412673,,TRUE,TRUE,TRUE,,-1.60596793641359,,,0.0759724503090222,-0.00187265917602997,,,FALSE,TRUE,0.00229039485566318,0.445516854524612,0.532802981078583,0.877563962349355,0.848738972513815,-3.64325433715625,0.0417669652991861,TRUE,,,-2.68533577651543,,0.207179233431816,FALSE,TRUE
2001-09-01,1040.94,15.736,28.31,-0.080361,-0.081352,0.0717,0.0803,0.0542,0.0081,-0.0152,0.0264,0.0028,0.0151171056929314,0.0138816845745338,0.0271965723288566,0.555845990815966,0.148628588215564,0.0278,0.0086,-0.0233,0.00450704225352117,,0.00865273887428187,0.00716759367729192,,,-0.001822915,,TRUE,TRUE,TRUE,,-1.85493622814753,,,0.0694290560678041,-0.120450281425891,,,FALSE,TRUE,0.094564825296402,0.422674417495728,0.547722367906575,0.780351246083938,0.754719363165338,-3.65087975473945,0.0433195154934707,TRUE,,,-2.68533577651543,,0.2788425385952,FALSE,TRUE
2001-10-01,1059.78,15.7373333333333,27.1033333333333,0.01954,0.018546,0.0703,0.0791,0.0506,0.0464,0.0437,0.0216,0.0022,0.0148496228777042,0.0151183865864827,0.0255744903030189,0.580641987455418,0.144901399571071,0.029,0.0088,-0.00269999999999999,-0.00336511497476177,,0.0107492699090078,0.00324977253340851,,,-0.0013347395,,TRUE,TRUE,TRUE,,-1.72560136673222,,,0.06522222780898,-0.0955631399317407,,,FALSE,TRUE,-0.0238152276724577,0.431267648935318,0.506889571428373,0.800423710874658,0.774132515793766,-3.71084641446618,0.0460451005710539,TRUE,,,-2.68533577651543,,0.270105212926865,FALSE,TRUE
2001-11-01,1139.45,15.7386666666667,25.8966666666667,0.078787,0.077259,0.0697,0.0781,0.0553,-0.0471,-0.0188,0.0187,0.0017,0.0138125118843887,0.0148508810004592,0.0227273392133632,0.607748745012228,0.133481366666032,0.0366,0.0084,0.0283,-0.00168823860438927,,0.0111617704310951,0.00218935800969455,,,-0.0010598798,,TRUE,TRUE,TRUE,,-1.6680049944964,,,0.05769906835115,-0.0820754716981131,,,FALSE,TRUE,0.0195607468485832,0.437625586986542,0.508374319133149,0.868903643701843,0.840363115863031,-3.82963797143848,0.0447011401314995,TRUE,,,-2.43926635417131,,0.279667437076569,FALSE,TRUE
2001-12-01,1148.08,15.74,24.69,0.009051,0.007849,0.0677,0.0805,0.0575,-0.0183,-0.009,0.0169,0.0015,0.0137098460037628,0.0138136820395805,0.0215054700020904,0.637505062778453,0.131217845913788,0.0406,0.0128,0.0093,-0.00394588500563708,,0.0134648260127588,0.00179795810025228,,,-0.0013361672,,TRUE,TRUE,TRUE,,-1.76475786444602,,,0.0558177686032115,0.025693730729702,,,FALSE,TRUE,-0.00978338439017534,0.442054897546768,0.522040159886854,0.883892283593463,0.854859429940169,-3.889094897395,0.0392759879066443,TRUE,,,-1.37059386786069,,0.213865339756012,FALSE,TRUE
