"date","oil_supply_surprise","oil_supply_news_shock"
1998-10-01,0,-0.491707370897236
1998-11-01,-2.69427679343767,-0.493171154254129
1998-12-01,0,-0.723879438245873
1999-01-01,0,0.918844379220777
1999-02-01,0,-0.766499461057214
1999-03-01,-1.7162090431301,0.795887556580992
1999-04-01,0,0.693009981657388
1999-05-01,0,-0.326738559404084
1999-06-01,0,-0.37747602247156
1999-07-01,0,1.02627553820778
1999-08-01,0,-0.0600897219427242
1999-09-01,-1.20377908060928,1.07259752934668
1999-10-01,0,-1.08137005225416
1999-11-01,0,0.621682684323157
1999-12-01,0,-0.186692506244613
2000-01-01,0,0.572031988852526
2000-02-01,0,0.164629715541791
2000-03-01,0.740286280900426,0.18723768806232
2000-04-01,0,-1.56834117029886
2000-05-01,0,0.832776349390335
2000-06-01,-0.692776416042095,0.525580516011947
2000-07-01,0,-0.412433001441631
2000-08-01,0,0.151262650719743
2000-09-01,3.93883456310407,0.783289063594566
2000-10-01,0,-0.473889164592075
2000-11-01,0.662680665247587,0.131407829965241
2000-12-01,0,-1.1547877445935
2001-01-01,-1.26542894536255,0.912157901993328
2001-02-01,0,-0.234968414461352
2001-03-01,-0.437070524202102,-0.282321115923552
2001-04-01,0,-0.133501049941656
2001-05-01,0,0.382852075927612
2001-06-01,0.991148785955947,-0.131176148448022
2001-07-01,2.0599232974207,-0.23823527068152
2001-08-01,0,-0.082624191245047
2001-09-01,1.78025065091551,0.0844665510672671
2001-10-01,0,-0.893420054495134
2001-11-01,-7.15327483485888,-0.333804288206028
2001-12-01,-1.86415295945722,0.110889309181404
2002-01-01,0,-0.436527179695876
2002-02-01,0,0.580574837069789
2002-03-01,0.0609592327251704,0.470714605752248
2002-04-01,0,0.20330681040741
2002-05-01,0,-0.148380474954153
2002-06-01,1.14555812329548,-0.470235448571601
2002-07-01,0,0.260850538174949
2002-08-01,0,0.434138373039419
2002-09-01,0.815586886896728,0.153979943983884
2002-10-01,0,0.0331683155874651
2002-11-01,0,-0.564223834911868
2002-12-01,1.69330518245102,1.30835909460876
2003-01-01,2.01429533713436,0.447887926651056
2003-02-01,0,0.480967759058322
2003-03-01,0.00381068003652235,-0.473347177236335
2003-04-01,0.789654197740325,-1.42069627392429
2003-05-01,0,0.2705160351478
2003-06-01,0.91851004192365,0.352645745509894
2003-07-01,0.0238208257101637,-0.164094509776392
2003-08-01,0,0.344959281748856
2003-09-01,2.467809819394,-0.646520806243291
2003-10-01,0,0.175062641231039
2003-11-01,0,-0.0277714318931507
2003-12-01,0.893371556393772,-0.174622517019236
2004-01-01,0,0.432555550291374
2004-02-01,2.67078685687228,-0.0354663892932848
2004-03-01,-0.687633236027676,0.409791666952323
2004-04-01,0,-0.488841661319944
2004-05-01,0,0.514511730866666
2004-06-01,-0.889182928136916,-0.0485029443158173
2004-07-01,0,-0.214416836563704
2004-08-01,0,0.650321825609721
2004-09-01,-1.62596912627601,-0.0815871601806761
2004-10-01,0,0.971306187532378
2004-11-01,0,-0.322812636594633
2004-12-01,-3.17682977559711,-1.02835468173076
2005-01-01,2.13727213601761,0.413907713540639
2005-02-01,0,0.11118237012627
2005-03-01,3.01861285730502,0.682595479534225
2005-04-01,0,-0.509643479209157
2005-05-01,0,-0.273775532396566
2005-06-01,0.316630054342317,0.573902851609109
2005-07-01,0,0.626462037927683
2005-08-01,0,0.801927469726794
2005-09-01,-1.68305430516469,1.20177648598422
2005-10-01,0,-1.16565327630835
2005-11-01,0,-1.26965751965078
2005-12-01,2.92910088808368,0.0793966738731739
2006-01-01,-0.172097416347834,0.246196705617014
2006-02-01,0,-0.570026149230974
2006-03-01,-1.84605688515237,-0.0254688599227516
2006-04-01,0,0.711861899786866
2006-05-01,0,-0.269205271493171
2006-06-01,-1.2025861747402,-0.387978060579325
2006-07-01,0,0.305236139875206
2006-08-01,0,-0.241002414978356
2006-09-01,-1.14592581681715,-0.946133629371334
2006-10-01,-1.03423988604277,-0.740508572343259
2006-11-01,0,-0.249055551188941
2006-12-01,1.73717526317577,0.0314428053939066
2007-01-01,0,-0.752999190602878
2007-02-01,0,0.426459791565442
2007-03-01,-0.708966826487885,-0.0818269465915488
2007-04-01,0,0.194215288318744
2007-05-01,0,-0.240862485611132
2007-06-01,0,0.249671112514384
2007-07-01,0,0.341829692083156
