"czone","statefip","city","yr","t2","timepwt48","reg_midatl","reg_encen","reg_wncen","reg_satl","reg_escen","reg_wscen","reg_mount","reg_pacif","l_popcount","l_shind_manuf_cbp","l_sh_popedu_c","l_sh_popfborn","l_sh_empl_f","l_sh_routine33","l_task_outsource","d_sh_empl","d_sh_empl_mfg","d_sh_empl_nmfg","d_sh_unempl","d_sh_nilf","d_avg_lnwkwage","d_avg_lnwkwage_mfg","d_avg_lnwkwage_nmfg","d_tradeusch_pw","d_tradeotch_pw_lag"
900,37,"Charlotte NC",2000,1,0.00511037092655897,0,0,0,1,0,0,0,0,1428791.6820665,16.2127456665039,55.5187110900879,9.50242614746094,68.3303985595703,32.8087730407715,0.220594853162766,-1.99531650543213,-6.34351682662964,4.34820127487183,1.97521424293518,0.0200995374470949,2.99801135063171,12.0028085708618,1.99992322921753,2.40375036075817,2.58493292625015
1001,37,"undefined",1990,0,0.0002660455647856,0,0,0,1,0,0,0,0,65566.8019173145,17.8875923156738,36.0704574584961,1.09319067001343,61.0210418701172,30.0173873901367,-0.111604765057564,-1.02498531341553,-7.57038164138794,6.54539489746094,0.357474029064178,0.6675124168396,11.1733913421631,15.7779216766357,10.4845523834229,2.01136046798101,1.72491676503995
1001,37,"undefined",2000,1,0.000279647123534232,0,0,0,1,0,0,0,0,78185.6164054722,12.3981943130493,47.6703872680664,2.91782259941101,62.5781402587891,28.9410419464111,-0.715512096881866,-2.04185938835144,-7.58757352828979,5.5457181930542,0.771126568317413,1.27073276042938,0.741141200065613,6.78321266174316,1.18739259243011,2.05858541583869,2.37047083938829
1002,37,"undefined",1990,0,0.000572452554479241,0,0,0,1,0,0,0,0,141080.65375185,60.9001502990723,33.9928779602051,1.02859652042389,68.6719512939453,35.3876419067383,-0.0165275856852531,-2.2937536239624,-7.46387243270874,5.17012166976929,-0.144193321466446,2.43794465065002,13.3327007293701,17.7041053771973,10.3516578674316,3.33164980795415,2.40564191497772
1002,37,"undefined",2000,1,0.000589993083849549,0,0,0,1,0,0,0,0,164954.219286978,49.9186363220215,40.8956031799316,4.03312730789185,67.5360946655273,33.5702705383301,-0.361721068620682,-8.6826343536377,-14.1659545898438,5.48331642150879,3.11619997024536,5.56644153594971,-2.45101118087769,0.646454930305481,-1.35053908824921,9.10549593409527,5.63372331746194
1100,37,"undefined",1990,0,0.00125670235138386,0,0,0,1,0,0,0,0,309713.688359737,53.2674674987793,35.6750717163086,1.52990007400513,72.2694702148438,36.0856857299805,0.21666419506073,-2.6008129119873,-6.52486705780029,3.92405080795288,-0.340941905975342,2.94175887107849,17.6103591918945,19.618034362793,15.7273769378662,3.94859225854096,2.12514154246637
1100,37,"undefined",2000,1,0.00134982727468014,0,0,0,1,0,0,0,0,377393.724784851,43.032657623291,44.0432548522949,6.58656358718872,70.6696014404297,34.8196487426758,-0.102757103741169,-6.79169368743896,-14.3785667419434,7.58686637878418,3.79874110221863,2.99295353889465,-2.41007113456726,6.96986103057861,-5.93682718276978,9.7608143565339,6.10501312262072
1201,37,"undefined",1990,0,0.000141039330628701,0,0,0,1,0,0,0,0,34759.0742122456,25.5668411254883,36.5088424682617,2.03929924964905,60.4148216247559,29.1168842315674,-0.366270214319229,-1.73172354698181,-5.34649276733398,3.61477136611938,-0.314446538686752,2.04616785049438,12.3055934906006,13.1759166717529,12.9935741424561,1.09970222609122,1.88195415117254
1201,37,"undefined",2000,1,0.0001598824019311,0,0,0,1,0,0,0,0,44700.9902249724,22.9350070953369,45.6953544616699,3.61861991882324,58.9932975769043,28.7616367340088,-0.898495852947235,3.21468305587769,-4.90532684326172,8.1200008392334,-0.135608553886414,-3.0790696144104,-1.08528137207031,-0.427927315235138,-0.127656117081642,2.40042840615863,3.11699847688102
1202,37,"undefined",1990,0,0.000181938667083159,0,0,0,1,0,0,0,0,44838.6986012459,24.8643016815186,38.2748870849609,1.40337884426117,57.7434768676758,28.2367877960205,-0.447601139545441,0.249719619750977,-4.6635947227478,4.91331815719604,-0.116537138819695,-0.133180618286133,16.4663314819336,16.9490337371826,17.7542209625244,6.56726943713168,8.52971718715667
1202,37,"undefined",2000,1,0.000193370142369531,0,0,0,1,0,0,0,0,54063.7158504128,10.6216382980347,49.0127563476562,2.61183929443359,58.5315246582031,28.126558303833,-0.960891962051392,4.89264726638794,-4.45132493972778,9.34396457672119,-1.32531833648682,-3.56732940673828,1.27983093261719,11.8312158584595,1.00101745128632,2.17100049371585,6.29762569758892
1203,37,"undefined",1990,0,0.00134730478748679,0,0,0,1,0,0,0,0,332042.617019296,29.1070346832275,44.2007637023926,2.33257150650024,63.4376754760742,31.0357151031494,-0.281943678855896,-0.449627637863159,-4.36368560791016,3.91405820846558,-0.0199045985937119,0.469532608985901,13.5474681854248,14.6121978759766,14.7810459136963,1.82745561378178,1.36528837930812
1203,37,"undefined",2000,1,0.0014145135646686,0,0,0,1,0,0,0,0,395479.168422163,20.4868011474609,52.6743469238281,5.550856590271,64.68701171875,30.8923072814941,-0.692660868167877,-0.0035507339052856,-6.43238735198975,6.42883777618408,0.15047724545002,-0.146925449371338,1.68309903144836,7.1922025680542,2.9743058681488,2.6871083023987,2.42423199692954
1204,37,"undefined",1990,0,0.000184930584509857,0,0,0,1,0,0,0,0,45576.0546851978,43.9954299926758,36.1161308288574,2.1807074546814,61.0181503295898,29.3027782440186,-0.349091351032257,-2.07576751708984,-5.31577682495117,3.24000716209412,-0.435543805360794,2.51131057739258,11.5131378173828,12.2825145721436,12.067985534668,2.85294303979317,2.93111216041898
1204,37,"undefined",2000,1,0.000213079358218238,0,0,0,1,0,0,0,0,59574.1536877155,30.8412761688232,44.5961303710938,3.95221781730652,59.1474761962891,28.9692096710205,-0.878101706504822,2.66303324699402,-5.08274364471436,7.74577713012695,0.257062584161758,-2.92009544372559,-1.83664059638977,-3.48057079315186,-0.518253862857819,16.1907139649459,5.20742798164632
1301,45,"undefined",1990,0,0.000272293837042525,0,0,0,1,0,0,0,0,67106.6873826981,54.3534088134766,26.4102210998535,0.641543865203857,61.120849609375,31.7187538146973,0.148019969463348,-0.551068782806396,-5.89936542510986,5.34830093383789,0.380398690700531,0.170665979385376,18.9574718475342,21.815013885498,19.1679000854492,2.82832354839367,3.51092615173156
