"date","mps","mps_orth","nfp_surp","nfp_12m","sp500_3m","slope_3m","bcom_3m","tr_skew"
1993-09-01,0.00284072857410829,-0.00498813940070303,-0.189,0.0207701032160088,0.0206781622478287,-0.26,-0.000873186439564577,0.192349217391304
1993-10-01,0,0,,,,,,
1993-11-01,0.00913034451577606,-0.00329356951867111,0.017,0.0235353985180886,0.0312498228469025,-0.12,-0.00715878723503494,0.234187
1993-12-01,0.00590272651235544,-0.00434251918229292,0.037,0.0244961857721222,0.0222750558272384,0.22,0.00434390527654926,0.268798869565217
1994-01-01,0,0,,,,,,
1994-02-01,0.160330761833129,0.136941397236733,-0.118,0.0252089628605461,0.0258561525052299,0.0899999999999999,0.060387127901059,0.332509086956522
1994-03-01,-0.0456673712966509,-0.064297202820941,0.067,0.0245498657056231,0.0111603510603162,0.17,0.0413057324496444,0.31942
1994-04-01,0.0996488674212616,0.09507735450692,0.2265,0.029101824368766,-0.0608434491401404,0.54,0.00454612186938164,0.357363739130435
1994-05-01,-0.0473851254283359,-0.0640760951327654,0.092,0.0294104688026682,-0.0616814547890474,0.37,0.0624100008184465,0.389737782608696
1994-06-01,0,0,,,,,,
1994-07-01,0.0100695306248072,-0.0305430934479673,-0.084,0.0309907995124057,0.00183873044898686,-0.33,0.0758231688343312,0.474934391304348
1994-08-01,0.0323833435845774,-0.000507277891557807,0.049,0.0314382886261804,0.0386354931914159,-0.35,0.00816579293298769,0.400225173913043
1994-09-01,-0.00470555503294473,-0.0353611474735535,-0.0535,0.0326421678034468,0.0245824888855362,-0.25,0.00527082317748651,0.44854247826087
1994-10-01,0,0,,,,,,
1994-11-01,0.0460715188020041,0.0268680875871439,-0.051,0.0327857809573473,0.00883645483372675,-0.1,0.036756897622519,0.178903173913044
1994-12-01,0.00669098105401464,-0.0195956929137076,0.1,0.034085182164036,-0.0285887514472876,-0.71,0.0168851647407662,0.227019173913043
1995-01-01,0,0,,,,,,
1995-02-01,0.0646202318625144,0.0293365822955604,-0.004,0.0341016536217786,0.0097622187909634,-1.09,0.0079851277744325,0.249406608695652
1995-03-01,0.0326186890805302,-0.0160130490669297,0.086,0.0341164031120602,0.0906094015978542,-0.94,0.0212990364095091,0.29928547826087
1995-04-01,0,0,,,,,,
1995-05-01,0.00227585279833788,-0.0351157358476419,-0.159,0.0301602729704928,0.0762211258833689,-0.85,0.0307923706062061,0.221231173913043
1995-06-01,0,0,,,,,,
1995-07-01,-0.244853494812839,-0.261505999311494,-0.2735,0.0263401587054819,0.0888969182445161,-0.73,-0.0367497984777163,0.11249947826087
1995-08-01,0.0641908404228315,0.0558369983697974,-0.07,0.0238820923472378,0.0715352826611122,0.2,-0.00178216347658555,0.152040695652174
1995-09-01,0.0764667763348633,0.0712676347091816,0.084,0.023567131542988,0.0542820911244322,0.34,0.022836071288582,0.0483097391304348
1995-10-01,0,0,,,,,,
1995-11-01,0.0446676564471094,0.0267332078196493,-0.014,0.0220235295163445,0.0514460322133692,-0.53,0.0340726021948718,0.0381072173913043
1995-12-01,-0.0282248353349226,-0.0360497859703975,0.006,0.0196125769796591,0.0394283779632483,-0.23,0.0320692374093481,-0.00831847826086957
1996-01-01,-0.0302707694591754,-0.0438779751368969,0.011,0.0183287931544207,0.0886010061871776,-0.0600000000000001,0.0397832068876998,0.0335971304347826
1996-02-01,0,0,,,,,,
1996-03-01,0.0364458967494624,0.021222622806808,0.4085,0.0173391423633937,0.0702529281912865,0.46,0.0606970806214973,0.118725565217391
1996-04-01,0,0,,,,,,
1996-05-01,0.0233065791600821,0.014739736425337,-0.1255,0.017704222880683,0.0329671145292245,0.58,0.0740510080012475,0.223195173913043
1996-06-01,0,0,,,,,,
1996-07-01,-0.0216758584437746,-0.0186218586725232,0.178,0.0209578405116737,0.0426260981369255,0.39,-0.0530768557856076,0.200880347826087
1996-08-01,0.0116136673855152,0.0141582546288332,0.003,0.022234090440401,0.00259871112052501,-0.0600000000000001,-0.0483009478483263,0.178851826086957
1996-09-01,-0.0755886457093377,-0.0886744325768461,0.0125,0.0215447283944208,0.0361604895680649,-0.19,0.0120512705710132,0.17115152173913
1996-10-01,0,0,,,,,,
1996-11-01,-0.010523236075011,-0.0326330785596815,0.015,0.0220711789728227,0.0914973471461895,-0.39,-0.00329102742959897,0.195690217391304
1996-12-01,0.00860351978149547,-0.00569296927532873,-0.057,0.0232616284042706,0.0577247969765464,-0.11,0.0318053296663861,0.0929541739130435
1997-01-01,0,0,,,,,,
1997-02-01,0.0149737302245717,-0.0168214879176274,0.087,0.0254101396299085,0.112515089396366,0.24,0.0571484396610344,0.282455173913044
1997-03-01,0.0757184279091085,0.0538032895067092,0.116,0.024467858724698,0.0780069924968361,0.0800000000000001,0.00890658206164652,0.28362247826087
1997-04-01,0,0,,,,,,
1997-05-01,-0.053375580684173,-0.0703228012436284,-0.056,0.0259126493264379,0.0260790785887126,0.15,0.0566867032526357,0.19825952173913
1997-06-01,0,0,,,,,,
1997-07-01,0.00829859623101724,-0.00781341526231553,-0.087,0.0251140634258196,0.162856335587689,-0.31,-0.0739556906556986,0.145439695652174
1997-08-01,0.0127167946651818,0.00957051673051313,0.118,0.0254694429342717,0.0805396402215175,-0.35,-0.0892452155702719,0.0596011304347826
1997-09-01,0.00418277748681958,-0.0150281392441887,-0.031,0.0237667017297696,0.0758766019754535,-0.23,0.0292991509377218,0.102911608695652
1997-10-01,0,0,,,,,,
1997-11-01,-0.0212153927598832,-0.0284709724337004,0.074,0.0266588690271359,-0.0142093341840042,-0.49,0.00608684434717777,0.00548230434782607
1997-12-01,0.00238991657881767,-0.00679364429252491,0.204,0.0267657170830162,0.0418436499374026,-0.65,-0.0399072749394609,-0.0332348260869565
1998-01-01,0,0,,,,,,
1998-02-01,0.0279070895013744,0.0256791170370397,0.17,0.0280305626004829,0.0902771411729493,-0.4,-0.0845950976902703,-0.0724097391304348
1998-03-01,0.00942365002489574,-0.0042222261199523,0.06,0.0271041712157771,0.152276370629703,0.23,-0.0242653714220911,0.0576314782608696
1998-04-01,0,0,,,,,,
1998-05-01,-0.00772294093133003,-0.00787969907357016,-0.008,0.0255212072050206,0.076733905189224,0.17,-0.0650357119822669,0.13659952173913
1998-06-01,0,0,,,,,,
1998-07-01,0.0129820961085808,0.0190409235266699,0.071,0.0262055310249991,0.0344539928346723,-0.17,-0.0599134571187268,-0.055560652173913
1998-08-01,0.008976711817994,0.0285529274612286,0.011,0.0248447527751665,-0.0306242810168529,-0.11,-0.0844022096356358,-0.0275078260869565
1998-09-01,0.0304000128699374,0.0573409770949988,0.015,0.0276817374012754,-0.0740384953075344,-0.26,-0.0298718901577679,-0.361258782608696
1998-10-01,-0.276119488312656,-0.233309196435293,-0.131,0.0253127503960613,-0.157946719464574,0.22,-0.014915233102613,-0.289138565217391
1998-11-01,-0.014776375041778,-0.0191716829369263,-0.059,0.0241329031679065,0.0665389888741093,0,0.00159463681654781,-0.00920395652173913
1998-12-01,0.0104305251121937,0.0190559748389985,0.097,0.0238224862493119,0.164794568618099,0.26,-0.106605644969053,-0.114996
1999-01-01,0,0,,,,,,
1999-02-01,0.0114562565352158,0.0107390391007446,0.178,0.0228984687851543,0.166817833506921,-0.02,-0.0865933267442864,-0.0994987826086957
1999-03-01,-0.0171911317742,-0.0384290429439212,0.025,0.0244939873185359,0.0848647595471119,0.55,0.0834535614346947,0.172978130434783
1999-04-01,0,0,,,,,,
1999-05-01,0.124342015952657,0.107467916077852,0.009,0.0248005152972315,0.0659186048738327,0.43,0.0953475048006949,0.0448218260869565
1999-06-01,-0.100663574858847,-0.111098076390992,-0.209,0.0232795132014765,0.0521329012826879,0.36,0.0194506930717937,0.278526652173913
1999-07-01,0,0,,,,,,
1999-08-01,0.00689722454685683,-0.0188525288689854,0.11,0.0251468467668108,0.0158503531406868,0.02,0.122375712876854,0.0947799130434783
1999-09-01,0,0,,,,,,
1999-10-01,0.0905336416325438,0.0739737364972077,-0.091,0.0236712205493941,-0.0568824291093515,-0.0499999999999998,0.116427561826558,0.168565826086957
1999-11-01,0.0782121548875725,0.0515154537983563,0.012,0.0251171182925187,0.0490239854922763,-0.49,0.0665035645368519,0.0796308260869565
1999-12-01,0.044333527369309,0.0126097779161579,0.024,0.0251631487467225,0.060065046655958,-0.37,0.0403287378421746,0.29099547826087
2000-01-01,0,0,,,,,,
2000-02-01,0.0108865906897197,-0.0176868798332354,0.09,0.0255509371691556,0.0485900820073661,0.01,0.0961367004661522,0.159762086956522
2000-03-01,0.004873745407161,-0.0110365276472411,-0.18,0.023161220181743,0.0301769264154554,-0.5,0.0547950163255084,0.0206207826086957
2000-04-01,0,0,,,,,,
2000-05-01,0.0653721139792667,0.0385385209252564,0.02,0.0252472350986537,0.0247678378163689,-0.66,0.0427297462806351,0.169535
2000-06-01,-0.021889879019991,-0.0340980596379088,-0.129,0.0252661802250795,-0.0516634302840329,-0.02,0.0671479292788364,0.237484826086957
2000-07-01,0,0,,,,,,
2000-08-01,0.0237406650336192,0.00108663641179043,-0.182,0.0214415955901117,0.0424146471318601,-0.94,0.0126081328281282,0.157130304347826
2000-09-01,0,0,,,,,,
2000-10-01,0.0530564399649118,0.0424682855831242,-0.07,0.0196544028278556,-0.00427983506174368,-0.44,0.0321753567238785,0.116775956521739
2000-11-01,0.0142578816067744,0.0138754669834873,-0.046,0.0165546135626489,-0.0756036533828492,-0.14,0.0728847578618286,0.0813506086956522
2000-12-01,0.0314868073150188,0.0491364435922426,-0.054,0.0158622442259855,-0.1027026479335,-0.51,-0.00315469095649945,-0.0792934347826087
2001-01-01,-0.128923908783434,-0.104853757323184,-0.054,0.0147024079167668,-0.127853008649827,-0.58,0.00840747229883565,-0.200738869565217
2001-02-01,0,0,,,,,,
2001-03-01,-0.066031830931825,-0.000721612503943397,0.06,0.0126258753627546,-0.157975866023161,1.07,-0.0580068553233399,-0.201166826086957
2001-04-01,-0.282530713596156,-0.213910633471569,-0.149,0.00867777948428916,-0.107311941873959,1.23,-0.0406048831787258,-0.296524739130435
2001-05-01,-0.129297604876294,-0.0674108752036237,-0.258,0.00432779920245352,-0.0648002130246397,1.74,-0.0344708476055891,-0.0140700869565217
2001-06-01,0.0862008481288858,0.125890032589098,0.006,0.00230609098974632,0.0653124598333426,1.13,-0.0516403425463885,-0.0835093913043478
2001-07-01,0,0,,,,,,
2001-08-01,-0.0276351234601594,0.0115383948054687,0.008,-0.000416034741119731,-0.0952628386871197,-0.27,-0.0704171967577496,-0.0266863043478261
2001-09-01,0,0,,,,,,
2001-10-01,-0.0541542325746399,0.0133990200722291,-0.068,-0.00448278440546801,-0.165401007933871,0.48,-0.0665091035280749,-0.124863913043478
2001-11-01,-0.153177385475113,-0.0813269629825873,-0.14,-0.00682327403509753,-0.0881924765159932,0.63,-0.122065974491402,-0.116776913043478
2001-12-01,-0.0617806766771883,0.0161010088384931,-0.131,-0.0107094852027423,0.00558609068121463,1.88,-0.111743984519594,-0.0460484347826087
2002-01-01,0.0365556764188206,0.07305020642297,0.046,-0.0131513981125888,0.0141275269929277,0.91,-0.00382759191776305,0.0799337826086956
2002-02-01,0,0,,,,,,
2002-03-01,-0.0607538801471809,-0.0644124223181268,0.066,-0.0155893836343264,0.0250109679230874,-0.0800000000000001,0.136167329570577,0.0973025652173913
2002-04-01,0,0,,,,,,
2002-05-01,-0.0363604310906251,-0.0239504882456192,-0.01,-0.0139812442760743,-0.0710648144921642,0.15,0.115106864720841,0.162872304347826
2002-06-01,0.0208867143472652,0.0519952321831472,-0.024,-0.0135265118228141,-0.162780128402225,-0.39,0.0228694702483105,0.14515152173913
2002-07-01,0,0,,,,,,
2002-08-01,-0.110570430013864,-0.07491670093035,-0.049,-0.0120873148240861,-0.171614965274584,-0.9,0.011867206578156,-0.0810447826086957
2002-09-01,-0.00391632984873216,0.0106218952929905,0.009,-0.0109440529353577,-0.188151954078928,-1.08,0.0899667920288971,0.0419458260869565
2002-10-01,0,0,,,,,,
2002-11-01,-0.0746426848184506,-0.0899457150767885,-0.005,-0.0063417657301148,0.0923976358162717,-0.0899999999999999,0.0818960184827233,0.251758217391304
2002-12-01,0.0294888840164039,0.0462809372441507,-0.065,-0.00400370342041789,-0.00215015313082922,0.47,0.00827881752451454,0.256192565217391
2003-01-01,0.0599566737870326,0.0586932887457299,-0.121,-0.00393952768613204,-0.0428633786224717,0.36,0.113546743027728,0.353562826086956
2003-02-01,0,0,,,,,,
2003-03-01,0.00769664220867889,0.0180237549121253,-0.328,-0.00221307642732249,-0.047155699871344,-0.25,0.0374350712729141,0.213165652173913
2003-04-01,0,0,,,,,,
2003-05-01,-0.0854242985544632,-0.0844701257648786,0.002,-0.00337433983782276,0.0925930284560419,-0.04,-0.0669205460610414,0.409533956521739
2003-06-01,0.145426944534423,0.137637425719037,0.008,-0.00334320246367525,0.0933607871910835,-0.33,0.0204727479366982,0.177887217391304
2003-07-01,0,0,,,,,,
2003-08-01,-0.0305687694021493,-0.0195989630739876,-0.054,-0.00307552137012124,0.063487326079442,0.88,-0.00554029830316694,0.383393695652174
