year,month,pc1_mpd,STOXX50_mpd,MP_pm_mpd,CBI_pm_mpd,MP_median_mpd,CBI_median_mpd
2011,3,0.12901932,-0.157459333306953,0.12901932,0,0.06948495,0.05953437
2011,4,0.01671464,0.342264608402143,0,0.01671464,-0.00245733,0.01917197
2011,5,-0.10342982,0.226453328699172,-0.10342982,-0,-0.05887023,-0.04455959
2011,6,-0.01737918,0.206542270286469,-0.01737918,-0,-0.01521577,-0.00216341
2011,7,0.01397534,0.645466470627998,0,0.01397534,-0.01340735,0.02738269
2011,8,-0.16180212,-1.19662957846849,-0,-0.16180212,-0.04309076,-0.11871136
2011,9,0.00187561,-0.345565513869506,0.00187561,0,0.01185675,-0.00998114
2011,10,0.15435875,-0.874495698297029,0.15435875,0,0.1048111,0.04954765
2011,11,-0.1310721,0.167902536674891,-0.1310721,-0,-0.07084132,-0.06023078
2011,12,-0.00589102,-1.14186082996621,-0,-0.00589102,0.03313424,-0.03902526
2012,1,-0.00206959,-0.855914502238875,-0,-0.00206959,0.02600982,-0.02807941
2012,2,0.00100563,0.464658734617274,0,0.00100563,-0.01417916,0.01518479
2012,3,-0.00146547,-0.23682095091635,-0,-0.00146547,0.00675017,-0.00821564
2012,4,0.00079408,-0.201766452683749,0.00079408,0,0.00677232,-0.00597824
2012,5,0.0149391,-1.05730906443915,0.0149391,0,0.04087769,-0.02593859
2012,6,0.02680761,-0.620527275185268,0.02680761,0,0.03301081,-0.0062032
2012,7,-0.11241256,-1.55924455878518,-0,-0.11241256,-0.00693832,-0.10547424
2012,8,0.02971076,-2.76954372443159,0.02971076,0,0.10236556,-0.0726548
2012,9,0.00373173,1.15497068951793,0,0.00373173,-0.03462812,0.03835985
2012,10,0.00451293,-0.0971934466925006,0.00451293,0,0.00532752,-0.00081459
2012,11,0.01249565,-0.0376311590433609,0.01249565,0,0.00743687,0.00505878
2012,12,-0.00852136,-0.0176918314198637,-0,-0.00852136,-0.00370167,-0.00481969
2013,1,0.01476135,0.332287413595012,0,0.01476135,-0.00311872,0.01788007
2013,2,-0.01600097,-0.049772888481936,-0,-0.01600097,-0.00642779,-0.00957318
2013,3,0.01292198,-0.0606149648268328,0.01292198,0,0.00837626,0.00454572
2013,4,-0.00229544,-0.826106968306117,-0,-0.00229544,0.02495505,-0.02725049
2013,5,-0.01064868,0.00368932898524577,-0.01064868,-0,-0.00544091,-0.00520777
2013,6,0.01693853,-0.740490336627264,0.01693853,0,0.03186678,-0.01492825
2013,7,-0.0183371,1.60533889301364,-0.0183371,-0,-0.05989297,0.04155587
2013,8,0.00841092,0.222118586710174,0,0.00841092,-0.00281289,0.01122381
2013,9,-0.00495061,0.119633884026715,-0.00495061,-0,-0.00625542,0.00130481
2013,10,0.00067118,-0.201354070967952,0.00067118,0,0.00669784,-0.00602666
2013,11,-0.01181985,0.922527796492822,-0.01181985,-0,-0.03505934,0.02323949
2013,12,0.01349568,-0.346216518112818,0.01349568,0,0.01768736,-0.00419168
2014,1,-0.00755296,-0.351263273130797,-0,-0.00755296,0.0073225,-0.01487546
2014,2,0.03970336,0.0241025161514585,0,0.03970336,0.0190901,0.02061326
